Date,Open,High,Low,Close,Volume
2005-01-03,,,,,
2005-01-04,,,,,
2005-01-05,,,,,
2005-01-06,,,,,
2005-01-07,,,,,
2005-01-10,,,,,
2005-01-11,,,,,
2005-01-12,,,,,
2005-01-13,,,,,
2005-01-14,,,,,
2005-01-18,,,,,
2005-01-19,,,,,
2005-01-20,,,,,
2005-01-21,,,,,
2005-01-24,,,,,
2005-01-25,,,,,
2005-01-26,,,,,
2005-01-27,,,,,
2005-01-28,,,,,
2005-01-31,,,,,
2005-02-01,,,,,
2005-02-02,,,,,
2005-02-03,,,,,
2005-02-04,,,,,
2005-02-07,,,,,
2005-02-08,,,,,
2005-02-09,,,,,
2005-02-10,,,,,
2005-02-11,,,,,
2005-02-14,,,,,
2005-02-15,,,,,
2005-02-16,,,,,
2005-02-17,,,,,
2005-02-18,,,,,
2005-02-22,,,,,
2005-02-23,,,,,
2005-02-24,,,,,
2005-02-25,,,,,
2005-02-28,,,,,
2005-03-01,,,,,
2005-03-02,,,,,
2005-03-03,,,,,
2005-03-04,,,,,
2005-03-07,,,,,
2005-03-08,,,,,
2005-03-09,,,,,
2005-03-10,,,,,
2005-03-11,,,,,
2005-03-14,,,,,
2005-03-15,,,,,
2005-03-16,,,,,
2005-03-17,,,,,
2005-03-18,,,,,
2005-03-21,,,,,
2005-03-22,,,,,
2005-03-23,,,,,
2005-03-24,,,,,
2005-03-28,,,,,
2005-03-29,,,,,
2005-03-30,,,,,
2005-03-31,,,,,
2005-04-01,,,,,
2005-04-04,,,,,
2005-04-05,,,,,
2005-04-06,,,,,
2005-04-07,,,,,
2005-04-08,,,,,
2005-04-11,,,,,
2005-04-12,,,,,
2005-04-13,,,,,
2005-04-14,,,,,
2005-04-15,,,,,
2005-04-18,,,,,
2005-04-19,,,,,
2005-04-20,,,,,
2005-04-21,,,,,
2005-04-22,,,,,
2005-04-25,,,,,
2005-04-26,,,,,
2005-04-27,,,,,
2005-04-28,,,,,
2005-04-29,,,,,
2005-05-02,,,,,
2005-05-03,,,,,
2005-05-04,,,,,
2005-05-05,,,,,
2005-05-06,,,,,
2005-05-09,,,,,
2005-05-10,,,,,
2005-05-11,,,,,
2005-05-12,,,,,
2005-05-13,,,,,
2005-05-16,,,,,
2005-05-17,,,,,
2005-05-18,,,,,
2005-05-19,,,,,
2005-05-20,,,,,
2005-05-23,,,,,
2005-05-24,,,,,
2005-05-25,,,,,
2005-05-26,,,,,
2005-05-27,,,,,
2005-05-31,,,,,
2005-06-01,,,,,
2005-06-02,,,,,
2005-06-03,,,,,
2005-06-06,,,,,
2005-06-07,,,,,
2005-06-08,,,,,
2005-06-09,,,,,
2005-06-10,,,,,
2005-06-13,,,,,
2005-06-14,,,,,
2005-06-15,,,,,
2005-06-16,,,,,
2005-06-17,,,,,
2005-06-20,,,,,
2005-06-21,,,,,
2005-06-22,,,,,
2005-06-23,,,,,
2005-06-24,,,,,
2005-06-27,,,,,
2005-06-28,,,,,
2005-06-29,,,,,
2005-06-30,,,,,
2005-07-01,,,,,
2005-07-05,,,,,
2005-07-06,,,,,
2005-07-07,,,,,
2005-07-08,,,,,
2005-07-11,,,,,
2005-07-12,,,,,
2005-07-13,,,,,
2005-07-14,,,,,
2005-07-15,,,,,
2005-07-18,,,,,
2005-07-19,,,,,
2005-07-20,,,,,
2005-07-21,,,,,
2005-07-22,,,,,
2005-07-25,,,,,
2005-07-26,,,,,
2005-07-27,,,,,
2005-07-28,,,,,
2005-07-29,,,,,
2005-08-01,,,,,
2005-08-02,,,,,
2005-08-03,,,,,
2005-08-04,,,,,
2005-08-05,,,,,
2005-08-08,,,,,
2005-08-09,,,,,
2005-08-10,,,,,
2005-08-11,,,,,
2005-08-12,,,,,
2005-08-15,,,,,
2005-08-16,,,,,
2005-08-17,,,,,
2005-08-18,,,,,
2005-08-19,,,,,
2005-08-22,,,,,
2005-08-23,,,,,
2005-08-24,,,,,
2005-08-25,,,,,
2005-08-26,,,,,
2005-08-29,,,,,
2005-08-30,,,,,
2005-08-31,,,,,
2005-09-01,,,,,
2005-09-02,,,,,
2005-09-06,,,,,
2005-09-07,,,,,
2005-09-08,,,,,
2005-09-09,,,,,
2005-09-12,,,,,
2005-09-13,,,,,
2005-09-14,,,,,
2005-09-15,,,,,
2005-09-16,,,,,
2005-09-19,,,,,
2005-09-20,,,,,
2005-09-21,,,,,
2005-09-22,,,,,
2005-09-23,,,,,
2005-09-26,,,,,
2005-09-27,,,,,
2005-09-28,,,,,
2005-09-29,,,,,
2005-09-30,,,,,
2005-10-03,,,,,
2005-10-04,,,,,
2005-10-05,,,,,
2005-10-06,,,,,
2005-10-07,,,,,
2005-10-10,,,,,
2005-10-11,,,,,
2005-10-12,,,,,
2005-10-13,,,,,
2005-10-14,,,,,
2005-10-17,,,,,
2005-10-18,,,,,
2005-10-19,,,,,
2005-10-20,,,,,
2005-10-21,,,,,
2005-10-24,,,,,
2005-10-25,,,,,
2005-10-26,,,,,
2005-10-27,,,,,
2005-10-28,,,,,
2005-10-31,,,,,
2005-11-01,,,,,
2005-11-02,,,,,
2005-11-03,,,,,
2005-11-04,,,,,
2005-11-07,,,,,
2005-11-08,,,,,
2005-11-09,,,,,
2005-11-10,,,,,
2005-11-11,,,,,
2005-11-14,,,,,
2005-11-15,,,,,
2005-11-16,6.697505977392292,7.592223904499843,6.621944117851658,6.740438461303711,97759000.0
2005-11-17,6.92075628042496,7.169766076061271,5.8388513122629915,6.0535149574279785,34308500.0
2005-11-18,6.216658376620217,6.345456633365984,5.935020051409765,6.0105814933776855,12810000.0
2005-11-21,6.053514892033629,6.17544360205815,5.979670628374158,6.165139675140381,6404000.0
2005-11-22,6.087860385257032,6.0895775697452414,5.890369838770265,6.001994609832764,6533000.0
2005-11-23,5.959064299393618,6.001996793285706,5.418111682732924,5.830265998840332,12421000.0
2005-11-25,5.795917429117423,5.9161289352267525,5.77874435681609,5.864609718322754,1316000.0
2005-11-28,5.821678720017362,5.821678720017362,5.589841980382599,5.718639850616455,3155000.0
2005-11-29,5.718639666014423,5.751268633447448,5.370026180117754,5.490237712860107,4477500.0
2005-11-30,5.512559860225076,5.565796245388432,5.426694524749558,5.546905994415283,3894500.0
2005-12-01,5.5469080966436195,6.044927640584774,5.5211482815191175,6.0105814933776855,5688500.0
2005-12-02,6.01058103005679,6.23383137913216,5.993407957777019,6.199484825134277,5120000.0
2005-12-05,6.213225471054244,6.431323516247236,6.213225471054244,6.321415901184082,4592500.0
2005-12-06,6.321415690238994,6.458800306843041,6.259592530879481,6.281917572021484,3202500.0
2005-12-07,6.293936976383203,6.293936976383203,5.924715714774986,6.087860107421875,2473000.0
2005-12-08,6.130794211312792,6.230398303416232,6.105034800573301,6.182313442230225,1823500.0
2005-12-09,6.182312918028553,6.261309147291507,6.144532397555604,6.216659069061279,808000.0
2005-12-12,6.2595906257629395,6.2681773664065314,6.190898338367525,6.2595906257629395,953500.0
2005-12-13,6.257874531474087,6.257874531474087,6.098164894515956,6.111903190612793,1843000.0
2005-12-14,6.096446861395407,6.130793008602495,5.976235346170597,6.0105814933776855,1422000.0
2005-12-15,6.00199301499165,6.00199301499165,5.7787431227499395,5.838849067687988,3273000.0
2005-12-16,5.813091140900978,5.922998733832474,5.752985176515051,5.871479511260986,8170500.0
2005-12-19,5.838850155204888,5.907542442535103,5.814807527088649,5.902390480041504,2242000.0
2005-12-20,5.945323520359929,6.080990923571848,5.907543004398025,6.000277519226074,2423500.0
2005-12-21,5.993408557669795,6.0105816316684555,5.933302593955294,5.974518299102783,916500.0
2005-12-22,5.974519900378177,5.974519900378177,5.890371692400042,5.95906400680542,1171000.0
2005-12-23,5.916128674829206,5.957344374088975,5.849153572970406,5.881782531738281,985000.0
2005-12-27,5.924716688441304,6.087861107899303,5.924716688441304,6.0535149574279785,1214000.0
2005-12-28,6.053515199981965,6.087861351829481,6.0157342691743265,6.024320602416992,581000.0
2005-12-29,5.9934063442334145,6.2200910010737385,5.9934063442334145,6.206352710723877,1076500.0
2005-12-30,6.225245690838332,6.2424187660217285,6.087861089371156,6.2424187660217285,923500.0
2006-01-03,6.268177990280806,6.568706982266681,6.1823122130519526,6.501731872558594,2993000.0
2006-01-04,6.508600436835867,6.508600436835867,6.244134800190168,6.336869716644287,1196500.0
2006-01-05,6.5601196198835465,6.824585255198484,6.5601196198835465,6.750741004943848,3478500.0
2006-01-06,6.740437786953016,6.9379283396150555,6.714678381070962,6.924190044403076,2306500.0
2006-01-09,7.04096737499704,7.605962080703616,7.023794709255004,7.489185333251953,8702000.0
2006-01-10,7.446249216302279,8.037003074259658,7.446249216302279,7.901335716247559,8667500.0
2006-01-11,7.9837676376427,8.277427402581987,7.78799391509883,8.057611465454102,7560000.0
2006-01-12,8.129738563641093,8.217320678877709,7.429076728489278,7.549287796020508,4841500.0
2006-01-13,7.506358191512358,7.660916281538782,7.384429886873988,7.6506123542785645,2010500.0
2006-01-17,7.813756154232414,8.071351845065593,7.727890378036868,7.964879035949707,2609500.0
2006-01-18,7.959727613150243,7.959727613150243,7.72789050494117,7.861840724945068,1397500.0
2006-01-19,7.848103427490255,8.208738429076083,7.556160729170598,8.148632049560547,3307000.0
2006-01-20,8.2430810703949,8.313490528427348,7.940834573409239,7.951138496398926,2309500.0
2006-01-23,7.951138691423855,8.212169502853312,7.921944105757575,8.203582763671875,1744500.0
2006-01-24,8.198433063780234,9.168712700834217,8.05589610912013,9.063956260681152,5615000.0
2006-01-25,9.18760389693374,9.474395032789607,8.612305259397884,9.101738929748535,7019000.0
2006-01-26,9.144671637569314,9.299229735640113,8.966072133142493,9.00728702545166,2424000.0
2006-01-27,8.595132362034905,9.029611196993242,8.339253014317709,8.759993553161621,6929000.0
2006-01-30,8.629477712580044,8.79262170394323,8.294602169621852,8.43542194366455,2970000.0
2006-01-31,8.435421756713271,8.758275363293002,7.911642009934953,8.727363586425781,6552500.0
2006-02-01,9.01587242810735,9.792096353829066,8.91283398433705,9.553390502929688,7184500.0
2006-02-02,9.513890783181402,9.95867346555521,9.112040985019261,9.479544639587402,10589500.0
2006-02-03,9.651275511636332,10.029083916078562,9.498435456809824,9.532781600952148,5790500.0
2006-02-06,9.840181143567369,9.840181143567369,9.397115574094045,9.567129135131836,3958000.0
2006-02-07,9.539650072485008,9.642688502039222,8.828684171571943,9.179015159606934,3575000.0
2006-02-08,9.359333924683845,9.410853556102838,9.033045928245016,9.184168815612793,1954000.0
2006-02-09,9.227101895795032,9.330140341883325,9.063957075330984,9.100020408630371,2131500.0
2006-02-10,9.142955000495178,9.142955000495178,8.407946626530572,8.883641242980957,3580500.0
2006-02-13,8.758274759871055,9.213361364853492,8.758274759871055,9.057086944580078,1660500.0
2006-02-14,9.057089628337994,9.100021706172074,8.880206486949687,8.926573753356934,1478000.0
2006-02-15,8.930008123053204,8.98324494772989,8.857881446170131,8.926573753356934,882000.0
2006-02-16,8.969503466065252,8.990111314681279,8.772012538851037,8.856161117553711,848000.0
2006-02-17,8.887072061924098,8.917983013089664,8.612302137455256,8.820096969604492,1626500.0
2006-02-21,8.821814334407378,8.82524870263468,8.371879341568988,8.524720191955566,2389500.0
2006-02-22,8.438857796143495,8.559069739617007,8.268844218033781,8.454313278198242,3314500.0
2006-02-23,8.620891811398865,8.912834494910424,8.413097727390083,8.569372177124023,7781500.0
2006-02-24,8.895658768549223,9.573995672091689,8.895658768549223,9.359332084655762,11018000.0
2006-02-27,9.445198325257298,9.823005897961867,9.32842160292394,9.762900352478027,4822000.0
2006-02-28,9.719971523134076,9.943221955013087,9.282058222296916,9.40226936340332,4038000.0
2006-03-01,9.445200398036365,9.762902494977824,9.445200398036365,9.74744701385498,3081000.0
2006-03-02,9.719971294815055,10.204252674562765,9.580869483854967,10.193948745727539,4253000.0
2006-03-03,10.389720111752778,10.812177818342127,10.30385433144007,10.406892776489258,6878500.0
2006-03-06,10.561451865755803,10.819048412506305,10.315876431136022,10.528822898864746,4600500.0
2006-03-07,10.528822513956964,10.528822513956964,10.161317967837629,10.303854942321777,3193000.0
2006-03-08,10.475586475213952,10.47902166372242,10.089192049846279,10.164753913879395,5132500.0
2006-03-09,10.207685903395701,11.076644466257985,10.207685903395701,10.989062309265137,5446500.0
2006-03-10,10.989062465634756,11.5712298842031,10.764094875955509,11.530014991760254,7088000.0
2006-03-13,11.720634570307581,12.278760532960254,11.5780984159046,12.240979194641113,9415500.0
2006-03-14,12.278756144131169,12.398967217060674,11.68284987503256,11.784171104431152,9242500.0
