SMA_5,SMA_10,SMA_20,SMA_50,EMA_5,EMA_10,EMA_20,EMA_50,RSI,STOCH_K,STOCH_D,MACD,MACD_Signal,MACD_Hist,ADX,CCI,WILLR,ULTOSC,ROC,ATR,NATR,TRANGE,BB_Upper,BB_Middle,BB_Lower,MOM,PPO,APO,AROON_Up,AROON_Down,AROONOSC,BOP,Price_Change,High_Low_Ratio,Close_Open_Ratio,ROE,ROA,Debt_to_Equity,Profit_Margin,Operating_Margin,Asset_Turnover,Financial_Leverage,EPS_Calc,Free_Cash_Flow,Operating_Cash_Flow,Investing_Cash_Flow,Financing_Cash_Flow,Beginning_Cash_Position,End_Cash_Position,Changes_In_Cash,Cash_And_Cash_Equivalents,Net_Income,Pretax_Income,Total_Revenue,Operating_Revenue,Normalized_Income,Net_Income_Common_Stockholders,Net_Income_From_Continuing_Operations,Net_Income_From_Continuing_And_Discontinued_Operation,Net_Income_Including_Noncontrolling_Interests,Net_Income_Continuous_Operations,Diluted_NI_Availto_Com_Stockholders,Net_Income_From_Continuing_Operation_Net_Minority_Interest,Basic_EPS,Diluted_EPS,Diluted_Average_Shares,Basic_Average_Shares,Share_Issued,Ordinary_Shares_Number,Capital_Stock,Common_Stock,Total_Assets,Total_Liabilities_Net_Minority_Interest,Total_Equity_Gross_Minority_Interest,Common_Stock_Equity,Stockholders_Equity,Total_Capitalization,Invested_Capital,Net_Tangible_Assets,Tangible_Book_Value,Total_Debt,Long_Term_Debt_And_Capital_Lease_Obligation,Tax_Rate_For_Calcs,Tax_Effect_Of_Unusual_Items,Close,Date,Sector_basic-materials,Sector_communication-services,Sector_consumer-cyclical,Sector_consumer-defensive,Sector_energy,Sector_financial-services,Sector_healthcare,Sector_industrials,Sector_real-estate,Sector_technology,Sector_utilities,Target_3M_Return,Target_Direction
123.8981948852539,122.13455352783203,119.0465129852295,114.03471847534179,123.8981948852539,122.13455352783203,119.0465129852295,114.03471847534179,26.092544235883498,47.649805105064786,27.84599227834455,-2.735083221047958,-2.564806178638302,-0.17027704240965624,38.02595188858116,-128.4641189815812,-98.68625954521679,47.36082207307404,-6.025344109454334,3.2026676841917268,2.7775087243084977,4.4304888681785854,127.28102248666198,123.8981948852539,120.51536728384582,-7.5869674682617045,-2.768597579885914,-3.262967183039734,100.0,21.42857142857143,-78.57142857142857,0.701496276389807,-0.15836121156885663,1.0153399566935928,1.0107609225005363,0.6335257082896117,0.1583087512291052,1.8915267576075552,0.16844528143963172,1.0,0.9398230088495575,4.019233302595178,5.337016574585635,3519762.6989720054,3880316.007937098,-250957.80976424948,-4203543.313551179,3815194.0446438435,3160003.560290977,-574185.1153783303,3160003.560290977,3835842.4720295095,4161452.2884957823,22772038.725253448,22772038.725253448,3855612.5470810006,3835842.4720295095,3838224.9828817016,3835842.4720295095,3838224.9828817016,3838224.9828817016,3835842.4720295095,3835842.4720295095,0.042646944254241134,0.042408693169021905,718724.107077993,713959.0853736085,700582.2796514041,700582.2796514041,7147.532556576725,7147.532556576725,24230135.3667951,18175381.12109055,6054754.24570455,6028546.626330436,6028546.626330436,17381210.83702647,17481276.292818543,-3908906.138163405,-3908906.138163405,11452729.666488107,11352664.210696032,0.0006194528215699829,-1672.5226182389538,125.9175796508789,2021-12-31,0,0,0,0,0,0,0,1,0,0,0,-12.811152072230536,0
123.8981948852539,122.13455352783203,119.0465129852295,114.03471847534179,123.8981948852539,122.13455352783203,119.0465129852295,114.03471847534179,26.092544235883498,47.649805105064786,27.84599227834455,-2.735083221047958,-2.564806178638302,-0.17027704240965624,38.02595188858116,-128.4641189815812,-98.68625954521679,47.36082207307404,-6.025344109454334,3.2026676841917268,2.7775087243084977,4.4304888681785854,127.28102248666198,123.8981948852539,120.51536728384582,-7.5869674682617045,-2.768597579885914,-3.262967183039734,100.0,21.42857142857143,-78.57142857142857,-0.623891460149952,-0.023255680091011643,1.035373331629686,0.9786655150424564,0.6335257082896117,0.1583087512291052,1.8915267576075552,0.16844528143963172,1.0,0.9398230088495575,4.019233302595178,5.337016574585635,3603566.0788894803,3972703.9398587546,-256932.96049843766,-4303627.088348831,3906031.4627673877,3235241.296909125,-587856.108988514,3235241.296909125,3927171.5164792845,4260533.9019361185,23314226.928266462,23314226.928266462,3947412.304829437,3927171.5164792845,3929610.753446042,3927171.5164792845,3929610.753446042,3929610.753446042,3927171.5164792845,3927171.5164792845,0.043662341704956024,0.043418418008280286,735836.4849717914,730958.0110382768,717262.7118186706,717262.7118186706,7317.710900271959,7317.710900271959,24807039.95192194,18608125.740402672,6198914.211519268,6172082.604884937,6172082.604884937,17795046.751483567,17897494.704087373,-4001974.783459842,-4001974.783459842,11725412.099202435,11622964.146598628,0.0006342016113569031,-1712.3443506636384,122.9892807006836,2022-01-03,0,0,0,0,0,0,0,1,0,0,0,-12.05422850762674,0
123.8981948852539,122.13455352783203,119.0465129852295,114.03471847534179,123.8981948852539,122.13455352783203,119.0465129852295,114.03471847534179,26.092544235883498,47.649805105064786,27.84599227834455,-2.735083221047958,-2.564806178638302,-0.17027704240965624,38.02595188858116,-128.4641189815812,-98.68625954521679,47.36082207307404,-6.025344109454334,3.2026676841917268,2.7775087243084977,3.308599580155203,127.28102248666198,123.8981948852539,120.51536728384582,-7.5869674682617045,-2.768597579885914,-3.262967183039734,100.0,21.42857142857143,-78.57142857142857,0.8063218460128018,0.023500148972258827,1.0194152315762208,1.0156489205015453,0.6335257082896117,0.1583087512291052,1.8915267576075552,0.16844528143963172,1.0,0.9398230088495575,4.019233302595178,5.337016574585635,3520826.1400918975,3881488.3845868707,-251033.63273218402,-4204813.348264082,3816346.745713329,3160958.305827089,-574358.5964093957,3160958.305827089,3837001.411697623,4162709.60606533,22778918.939755205,22778918.939755205,3856777.459967354,3837001.411697623,3839384.642388118,3837001.411697623,3839384.642388118,3839384.642388118,3837001.411697623,3837001.411697623,0.04265982935986798,0.042421506290818436,718941.2582994511,714174.7969184602,700793.9496041161,700793.9496041161,7149.692071486254,7149.692071486254,24237456.1223384,18180872.527559377,6056583.594779022,6030368.057183572,6030368.057183572,17386462.29739424,17486557.986395046,-3910087.1528728157,-3910087.1528728157,11456189.929211473,11356094.240210665,0.0006196399795288086,-1673.0279447277833,125.87954711914062,2022-01-04,0,0,0,0,0,0,0,1,0,0,0,-16.779800868934664,0
123.8981948852539,122.13455352783203,119.0465129852295,114.03471847534179,123.8981948852539,122.13455352783203,119.0465129852295,114.03471847534179,26.092544235883498,47.649805105064786,27.84599227834455,-2.735083221047958,-2.564806178638302,-0.17027704240965624,38.02595188858116,-128.4641189815812,-98.68625954521679,47.36082207307404,-6.025344109454334,3.2026676841917268,2.7775087243084977,4.088236606031344,127.28102248666198,123.8981948852539,120.51536728384582,-7.5869674682617045,-2.768597579885914,-3.262967183039734,100.0,21.42857142857143,-78.57142857142857,-0.797675697734248,-0.023338224858727163,1.0332766058747636,0.974159953347697,0.6335257082896117,0.1583087512291052,1.8915267576075552,0.16844528143963172,1.0,0.9398230088495575,4.019233302595178,5.337016574585635,3604959.4954021974,3974240.0935322964,-257032.31059275597,-4305291.202428662,3907541.8357202522,3236492.2906600507,-588083.419489122,3236492.2906600507,3928690.0638069976,4262181.35286722,23323242.006128747,23323242.006128747,3948938.678806669,3928690.0638069976,3931130.2439708533,3928690.0638069976,3931130.2439708533,3931130.2439708533,3928690.0638069976,3928690.0638069976,0.04367922493300948,0.04343520691662395,736121.0160963422,731240.6557686317,717540.0608903193,717540.0608903193,7320.540491565835,7320.540491565835,24816632.26640818,18615321.076663963,6201311.189744214,6174469.207941805,6174469.207941805,17801927.688712206,17904415.255594127,-4003522.2554985597,-4003522.2554985597,11729946.047652323,11627458.4807704,0.0006344468426023723,-1713.0064750264053,122.94174194335938,2022-01-05,0,0,0,0,0,0,0,1,0,0,0,-13.440625733048202,0
123.8981948852539,122.13455352783203,119.0465129852295,114.03471847534179,123.8981948852539,122.13455352783203,119.0465129852295,114.03471847534179,26.092544235883498,47.649805105064786,27.84599227834455,-2.735083221047958,-2.564806178638302,-0.17027704240965624,38.02595188858116,-128.4641189815812,-98.68625954521679,47.36082207307404,-6.025344109454334,3.2026676841917268,2.7775087243084977,1.7969208385562325,127.28102248666198,123.8981948852539,120.51536728384582,-7.5869674682617045,-2.768597579885914,-3.262967183039734,100.0,21.42857142857143,-78.57142857142857,-0.6719520760840754,-0.009589232367436806,1.0147841007805805,0.9901810031727993,0.6335257082896117,0.1583087512291052,1.8915267576075552,0.16844528143963172,1.0,0.9398230088495575,4.019233302595178,5.337016574585635,3639862.987373757,4012718.988336683,-259520.91696978957,-4346975.359243975,3945374.952920472,3267828.25513542,-593777.2878770818,3267828.25513542,3966727.9397597583,4303448.116840814,23549059.40883464,23549059.40883464,3987172.6033896506,3966727.9397597583,3969191.745933522,3966727.9397597583,3969191.745933522,3969191.745933522,3966727.9397597583,3966727.9397597583,0.04410213051037247,0.04385574989299608,743248.1957520872,738320.5834045595,724487.3383247814,724487.3383247814,7391.4185212914745,7391.4185212914745,25056908.7871781,18795556.030919634,6261352.756258467,6234250.888347065,6234250.888347065,17974287.30633169,18077767.16562977,-4042284.6624218486,-4042284.6624218486,11843516.277282706,11740036.417984625,0.0006405896051785945,-1729.591933982205,121.76282501220705,2022-01-06,0,0,0,0,0,0,0,1,0,0,0,-12.77496057725909,0
122.79342041015624,122.13455352783203,119.0465129852295,114.03471847534179,122.7300323486328,122.13455352783203,119.0465129852295,114.03471847534179,26.092544235883498,47.649805105064786,27.84599227834455,-2.735083221047958,-2.564806178638302,-0.17027704240965624,38.02595188858116,-128.4641189815812,-98.68625954521679,47.36082207307404,-6.025344109454334,3.2026676841917268,2.7775087243084977,2.272296400116417,126.41615844627985,122.79342041015624,119.17068237403264,-7.5869674682617045,-2.768597579885914,-3.262967183039734,100.0,21.42857142857143,-78.57142857142857,-0.4602537173356584,-0.011244135775259512,1.0189052319590644,0.9913880366820179,0.6335257082896117,0.1583087512291052,1.8915267576075552,0.16844528143963172,1.0,0.9398230088495575,4.019233302595178,5.337016574585635,3681255.5243125516,4058351.645259731,-262472.1899103715,-4396409.180998722,3990241.7731943815,3304990.0115612913,-600529.7256493625,3304990.0115612913,4011837.586288273,4352386.946615021,23816859.409778453,23816859.409778453,4032514.7467174777,4011837.586288273,4014329.4108760296,4011837.586288273,4014329.4108760296,4014329.4108760296,4011837.586288273,4011837.586288273,0.044603660120844775,0.044354477662069104,751700.4173066019,746716.7681310885,732726.2113310796,732726.2113310796,7475.4737632700735,7475.4737632700735,25341856.05748555,19009299.17179988,6332556.885685671,6305146.815220348,6305146.815220348,18178690.97588098,18283347.60856676,-4088253.5403128113,-4088253.5403128113,11978200.793346414,11873544.160660634,0.0006478743928167397,-1749.2608606051972,120.39370727539062,2022-01-07,0,0,0,0,0,0,0,1,0,0,0,-12.710386480716016,0
121.98148193359376,122.13455352783203,119.0465129852295,114.03471847534179,121.46321767171223,122.13455352783203,119.0465129852295,114.03471847534179,26.092544235883498,47.649805105064786,27.84599227834455,-2.735083221047958,-2.564806178638302,-0.17027704240965624,38.02595188858116,-128.4641189815812,-98.68625954521679,47.36082207307404,-6.025344109454334,3.2026676841917268,2.7775087243084977,4.097699340013989,126.71433775927176,121.98148193359376,117.24862610791575,-7.5869674682617045,-2.768597579885914,-3.262967183039734,100.0,21.42857142857143,-78.57142857142857,-0.13136864669389947,-0.012161092059159495,1.0304938143086948,0.9960980611083022,0.6335257082896117,0.1583087512291052,1.8915267576075552,0.16844528143963172,1.0,0.9398230088495575,4.019233302595178,5.337016574585635,3726574.7428253903,4108313.220542612,-265703.43382960814,-4450532.516645936,4039364.8611311316,3345677.098759528,-607922.7299329325,3345677.098759528,4061226.536066479,4405968.333123882,24110064.11908286,24110064.11908286,4082158.2489834228,4061226.536066479,4063749.0370205576,4061226.536066479,4063749.0370205576,4063749.0370205576,4061226.536066479,4061226.536066479,0.045152767078006195,0.04490051698259834,760954.4544803652,755909.452572208,741746.660757121,741746.660757121,7567.502862235675,7567.502862235675,25653834.70297894,19243318.945013963,6410515.757964976,6382768.2474701125,6382768.2474701125,18402485.29365444,18508430.333725743,-4138583.2319915546,-4138583.2319915546,12125662.08625563,12019717.046184331,0.0006558502480604252,-1770.795669763148,118.9295883178711,2022-01-10,0,0,0,0,0,0,0,1,0,0,0,-14.171253268228256,0
121.07066955566407,122.13455352783203,119.0465129852295,114.03471847534179,121.41730685763889,122.13455352783203,119.0465129852295,114.03471847534179,26.092544235883498,47.649805105064786,27.84599227834455,-2.735083221047958,-2.564806178638302,-0.17027704240965624,38.02595188858116,-128.4641189815812,-98.68625954521679,47.36082207307404,-6.025344109454334,3.2026676841917268,2.7775087243084977,3.3751658578533466,123.7669527573154,121.07066955566407,118.37438635401274,-7.5869674682617045,-2.768597579885914,-3.262967183039734,100.0,21.42857142857143,-78.57142857142857,0.5605635013593261,0.020145507484793823,1.0285690919148007,1.0158414091725825,0.6335257082896117,0.1583087512291052,1.8915267576075552,0.16844528143963172,1.0,0.9398230088495575,4.019233302595178,5.337016574585635,3652983.5356658064,4027183.5639131614,-260456.40732635264,-4362644.822716407,3959596.774670247,3279607.7365555605,-595917.6661295979,3279607.7365555605,3981026.7322350736,4318960.678449645,23633946.277455173,23633946.277455173,4001545.0923742577,3981026.7322350736,3983499.4196463996,3981026.7322350736,3983499.4196463996,3983499.4196463996,3981026.7322350736,3981026.7322350736,0.04426110466273777,0.044013835921605154,745927.3690833834,740981.994260731,727098.8847325562,727098.8847325562,7418.062233978398,7418.062233978398,25147230.97318677,18863308.031869955,6283922.941316811,6256723.379792224,6256723.379792224,18039078.894761246,18142931.766036943,-4056855.8128490746,-4056855.8128490746,11886208.38624472,11782355.514969021,0.0006428987269447944,-1735.826562750945,121.3254852294922,2022-01-11,0,0,0,0,0,0,0,1,0,0,0,-14.702125607157784,0
120.74170989990235,122.13455352783203,119.0465129852295,114.03471847534179,121.37718579327618,122.13455352783203,119.0465129852295,114.03471847534179,26.092544235883498,47.649805105064786,27.84599227834455,-2.735083221047958,-2.564806178638302,-0.17027704240965624,38.02595188858116,-128.4641189815812,-98.68625954521679,47.36082207307404,-6.025344109454334,3.2026676841917268,2.7775087243084977,2.1391847774418835,122.7609463290787,120.74170989990235,118.72247347072599,-7.5869674682617045,-2.768597579885914,-3.262967183039734,100.0,21.42857142857143,-78.57142857142857,-0.36889095354192225,-0.00023524789443396532,1.0176997508023258,0.9935363148712407,0.6335257082896117,0.1583087512291052,1.8915267576075552,0.16844528143963172,1.0,0.9398230088495575,4.019233302595178,5.337016574585635,3653843.094560394,4028131.1732901814,-260517.69356522665,-4363671.367217546,3960528.480656167,3280379.438911509,-596057.8874925914,3280379.438911509,3981963.480759635,4319976.943929708,23639507.42180161,23639507.42180161,4002486.668935625,3981963.480759635,3984436.7500023427,3981963.480759635,3984436.7500023427,3984436.7500023427,3981963.480759635,3981963.480759635,0.04427151944447048,0.04402419252019969,746102.8882168675,741156.3497314517,727269.9734624983,727269.9734624983,7419.807728123544,7419.807728123544,25153148.198338814,18867746.62953727,6285401.568801544,6258195.607131758,6258195.607131758,18043323.548634652,18147200.856828384,-4057810.404202676,-4057810.404202676,11889005.249696625,11785127.941502895,0.0006430500031040405,-1736.2350083809092,121.29694366455078,2022-01-12,0,0,0,0,0,0,0,1,0,0,0,-16.058783167081096,0
120.37091217041015,122.13455352783203,119.0465129852295,114.03471847534179,120.88773598376615,122.13455352783203,119.0465129852295,114.03471847534179,26.092544235883498,56.05047441987593,42.89143580856742,-2.735083221047958,-2.564806178638302,-0.17027704240965624,38.02595188858116,-128.4641189815812,-98.68625954521679,47.36082207307404,-6.025344109454334,3.2026676841917268,2.7775087243084977,3.8695528223230156,122.17317567348904,120.37091217041015,118.56864866733126,-7.5869674682617045,-2.768597579885914,-3.262967183039734,100.0,21.42857142857143,-78.57142857142857,-0.4938589815207084,-0.011443876967283884,1.0323374546773596,0.9843127912305255,0.6335257082896117,0.1583087512291052,1.8915267576075552,0.16844528143963172,1.0,0.9398230088495575,4.019233302595178,5.337016574585635,3696141.2806296186,4074762.2511634286,-263533.53896185907,-4414186.777611139,4006376.9657366173,3318354.2769912574,-602958.06540957,3318354.2769912574,4028060.1050182893,4369986.532152347,23913166.760102365,23913166.760102365,4048820.8769135945,4028060.1050182893,4030562.0057046358,4028060.1050182893,4030562.0057046358,4030562.0057046358,4028060.1050182893,4028060.1050182893,0.044784022285607065,0.04453383221697239,754740.0403812736,749736.2390085801,735689.1091133624,735689.1091133624,7505.702059040291,7505.702059040291,25444329.980146583,19086166.36924401,6358163.610902575,6330642.7033527605,6330642.7033527605,18252199.47379509,18357279.30262165,-4104785.05939959,-4104785.05939959,12026636.599268893,11921556.770442327,0.0006504941784501585,-1756.3342818154279,119.9088363647461,2022-01-13,0,0,0,0,0,0,0,1,0,0,0,-15.230292432421036,0
