SMA_5,SMA_10,SMA_20,SMA_50,EMA_5,EMA_10,EMA_20,EMA_50,RSI,STOCH_K,STOCH_D,MACD,MACD_Signal,MACD_Hist,ADX,CCI,WILLR,ULTOSC,ROC,ATR,NATR,TRANGE,BB_Upper,BB_Middle,BB_Lower,MOM,PPO,APO,AROON_Up,AROON_Down,AROONOSC,BOP,Price_Change,High_Low_Ratio,Close_Open_Ratio,ROE,ROA,Debt_to_Equity,Profit_Margin,Operating_Margin,Asset_Turnover,Financial_Leverage,EPS_Calc,Free_Cash_Flow,Operating_Cash_Flow,Investing_Cash_Flow,Financing_Cash_Flow,Beginning_Cash_Position,End_Cash_Position,Changes_In_Cash,Cash_And_Cash_Equivalents,Net_Income,Pretax_Income,Total_Revenue,Operating_Revenue,Normalized_Income,Net_Income_Common_Stockholders,Net_Income_From_Continuing_Operations,Net_Income_From_Continuing_And_Discontinued_Operation,Net_Income_Including_Noncontrolling_Interests,Net_Income_Continuous_Operations,Diluted_NI_Availto_Com_Stockholders,Net_Income_From_Continuing_Operation_Net_Minority_Interest,Basic_EPS,Diluted_EPS,Diluted_Average_Shares,Basic_Average_Shares,Share_Issued,Ordinary_Shares_Number,Capital_Stock,Common_Stock,Total_Assets,Total_Liabilities_Net_Minority_Interest,Total_Equity_Gross_Minority_Interest,Common_Stock_Equity,Stockholders_Equity,Total_Capitalization,Invested_Capital,Net_Tangible_Assets,Tangible_Book_Value,Total_Debt,Long_Term_Debt_And_Capital_Lease_Obligation,Tax_Rate_For_Calcs,Tax_Effect_Of_Unusual_Items,Close,Date,Sector_basic-materials,Sector_communication-services,Sector_consumer-cyclical,Sector_consumer-defensive,Sector_energy,Sector_financial-services,Sector_healthcare,Sector_industrials,Sector_real-estate,Sector_technology,Sector_utilities,Target_3M_Return,Target_Direction
25.187253189086913,25.15988063812256,25.072286128997803,25.278140869140625,25.187253189086913,25.15988063812256,25.072286128997803,25.278140869140625,34.75971754753285,43.11134562396355,53.63198683945705,-0.09988053604345382,0.051028312925631605,-0.1509088489690854,15.8250902497703,-115.86249731503878,-66.11570296573898,46.04690762958658,-1.0748620406598075,0.4477521480905047,1.7948588461291555,0.5018464659847908,25.51928579647926,25.187253189086913,24.855220581694567,-0.2737293243408203,0.4832201717410319,0.12183470603747182,64.28571428571429,0.0,-64.28571428571429,0.41176272593656776,-0.3194424792148941,1.0122876816642723,1.0050413895333337,0.15778296878318115,0.03943841397064678,1.7098110002123592,0.17792145593869732,1.0,0.22166193370312376,4.367060732498841,2.4360655737704917,-123377958.8608543,863881.3160212586,-72683832.543425,75236209.15894234,6557644.535252281,9973902.466790896,3416257.9315386135,9031486.485676795,58351256.16398138,30549984.721115418,327960761.4277069,327960761.4277069,30080347.423860226,54620859.572071396,58351256.16398138,58351256.16398138,58351256.16398138,26230578.141009126,54620859.572071396,26230578.141009126,0.092278231484089,0.08952951820583953,23953072.853316717,23285528.200027563,24696149.55584822,24696149.55584822,31374598.704590257,353405.99291778763,1479553823.016591,1109734085.0943995,369819737.92219156,338798545.2105191,369819737.92219156,980740897.679407,971120401.205534,199478049.3358179,168456856.62414542,632321855.9950149,610921159.7572155,0.005497426556498919,-626706.6274408767,25.466461181640625,2021-12-31,0,0,0,0,0,0,0,0,0,0,1,11.05683445478349,1
25.187253189086913,25.15988063812256,25.072286128997803,25.278140869140625,25.187253189086913,25.15988063812256,25.072286128997803,25.278140869140625,34.75971754753285,43.11134562396355,53.63198683945705,-0.09988053604345382,0.051028312925631605,-0.1509088489690854,15.8250902497703,-115.86249731503878,-66.11570296573898,46.04690762958658,-1.0748620406598075,0.4477521480905047,1.7948588461291555,0.5018464659847908,25.51928579647926,25.187253189086913,24.855220581694567,-0.2737293243408203,0.4832201717410319,0.12183470603747182,64.28571428571429,0.0,-64.28571428571429,-0.5454539149252104,-0.01039046537684929,1.0200656417410552,0.9892550416819206,0.15778296878318115,0.03943841397064678,1.7098110002123592,0.17792145593869732,1.0,0.22166193370312376,4.367060732498841,2.4360655737704917,-124673373.22880319,872951.6903353502,-73446980.85503332,76026156.30375141,6626496.922091067,10078624.061144497,3452127.1390534304,9126313.126233207,58963918.71992411,30870746.14004102,331404205.3491293,331404205.3491293,30396177.857476894,55194354.60256691,58963918.71992411,58963918.71992411,58963918.71992411,26505987.688364267,55194354.60256691,26505987.688364267,0.09324711237673058,0.09046953881657264,24204569.595661983,23530016.016766485,24955448.277135547,24955448.277135547,31704018.208088398,357116.60059173417,1495088488.1884391,1121385805.4803333,373702682.7081058,342355781.1006091,373702682.7081058,991038246.2643503,981316738.8037975,201572481.22288996,170225579.61539328,638960957.7031884,617335563.5562445,0.005555147120315866,-633286.7717160085,25.20185279846191,2022-01-03,0,0,0,0,0,0,0,0,0,0,1,12.149999822145263,1
25.187253189086913,25.15988063812256,25.072286128997803,25.278140869140625,25.187253189086913,25.15988063812256,25.072286128997803,25.278140869140625,34.75971754753285,43.11134562396355,53.63198683945705,-0.09988053604345382,0.051028312925631605,-0.1509088489690854,15.8250902497703,-115.86249731503878,-66.11570296573898,46.04690762958658,-1.0748620406598075,0.4477521480905047,1.7948588461291555,0.34672999291649376,25.51928579647926,25.187253189086913,24.855220581694567,-0.2737293243408203,0.4832201717410319,0.12183470603747182,64.28571428571429,0.0,-64.28571428571429,-0.5789468400684593,-0.006154985355742326,1.013848365647623,0.9920491755421796,0.15778296878318115,0.03943841397064678,1.7098110002123592,0.17792145593869732,1.0,0.22166193370312376,4.367060732498841,2.4360655737704917,-125445488.37268098,878357.9707826166,-73901845.63266471,76496994.18270425,6667535.505486227,10141042.026308393,3473506.520822166,9182833.330909174,59329088.39013493,31061931.87585799,333456625.99892795,333456625.99892795,30584424.542650715,55536178.970846355,59329088.39013493,59329088.39013493,59329088.39013493,26670142.021944907,55536178.970846355,26670142.021944907,0.09382460142450678,0.09102982606292573,24354471.00806346,23675739.84882235,25109999.95916691,25109999.95916691,31900364.48433231,359328.26077470684,1504347726.4144642,1128330664.1948876,376017062.21957654,344476025.99601895,376017062.21957654,997175849.0121198,987394135.2465861,202820840.52616787,171279804.30261025,642918109.2505671,621158786.7925432,0.005589550723162107,-637208.7824404801,25.046735763549805,2022-01-04,0,0,0,0,0,0,0,0,0,0,1,12.33128711485479,1
25.187253189086913,25.15988063812256,25.072286128997803,25.278140869140625,25.187253189086913,25.15988063812256,25.072286128997803,25.278140869140625,34.75971754753285,43.11134562396355,53.63198683945705,-0.09988053604345382,0.051028312925631605,-0.1509088489690854,15.8250902497703,-115.86249731503878,-66.11570296573898,46.04690762958658,-1.0748620406598075,0.4477521480905047,1.7948588461291555,0.4288522771243706,25.51928579647926,25.187253189086913,24.855220581694567,-0.2737293243408203,0.4832201717410319,0.12183470603747182,64.28571428571429,0.0,-64.28571428571429,-0.06383108239725087,-0.0021859312535473796,1.0173176577477152,0.9989058830575479,0.15778296878318115,0.03943841397064678,1.7098110002123592,0.17792145593869732,1.0,0.22166193370312376,4.367060732498841,2.4360655737704917,-125720304.31508882,880282.2071712139,-74063743.88517804,76664577.67909299,6682142.208981488,10163258.210067652,3481116.0010861643,9202950.347699055,59459061.81165563,31129979.87178202,334187136.10427177,334187136.10427177,30651426.453701667,55657843.18977994,59459061.81165563,59459061.81165563,59459061.81165563,26728568.83592595,55657843.18977994,26728568.83592595,0.09403014485692512,0.0912292469250167,24407824.83520184,23727606.766024083,25165008.93870182,25165008.93870182,31970249.25135454,360115.4483882239,1507643331.0910985,1130802520.7666216,376840810.32447696,345230676.5215106,376840810.32447696,999360382.1049199,989557239.3432405,203265164.20135304,171655030.39838672,644326562.8217299,622519571.780443,0.005601795863816816,-638604.728475117,24.99198532104492,2022-01-05,0,0,0,0,0,0,0,0,0,0,1,14.451211852432566,1
25.187253189086913,25.15988063812256,25.072286128997803,25.278140869140625,25.187253189086913,25.15988063812256,25.072286128997803,25.278140869140625,34.75971754753285,43.11134562396355,53.63198683945705,-0.09988053604345382,0.051028312925631605,-0.1509088489690854,15.8250902497703,-115.86249731503878,-66.11570296573898,46.04690762958658,-1.0748620406598075,0.4477521480905047,1.7948588461291555,0.4197259771139663,25.51928579647926,25.187253189086913,24.855220581694567,-0.2737293243408203,0.4832201717410319,0.12183470603747182,64.28571428571429,0.0,-64.28571428571429,0.2608677624268179,0.009492865678526474,1.0168807003476203,1.0043588423135412,0.15778296878318115,0.03943841397064678,1.7098110002123592,0.17792145593869732,1.0,0.22166193370312376,4.367060732498841,2.4360655737704917,-124538081.03991546,872004.3866575875,-73367278.16832702,75943654.76526989,6619306.025991688,10067687.009592148,3448380.9836004595,9116409.49687478,58899932.66241705,30837246.037254687,331044574.42564416,331044574.42564416,30363192.743417196,55134459.17457747,58899932.66241705,58899932.66241705,58899932.66241705,26477224.10396675,55134459.17457747,26477224.10396675,0.09314592312024231,0.09037136370814997,24178303.44823311,23504481.876724973,24928367.29637238,24928367.29637238,31669613.860882383,356729.0672690131,1493466058.4032383,1120168907.787731,373297150.61550725,341984265.8218939,373297150.61550725,989962798.2345412,980251840.2922181,201353740.19184294,170040855.39822957,638267574.4703242,616665647.6190339,0.005549118824184648,-632599.5459570498,25.229230880737305,2022-01-06,0,0,0,0,0,0,0,0,0,0,1,12.5742484359907,1
25.14163131713867,25.15988063812256,25.072286128997803,25.278140869140625,25.204286066691083,25.15988063812256,25.072286128997803,25.278140869140625,34.75971754753285,43.11134562396355,53.63198683945705,-0.09988053604345382,0.051028312925631605,-0.1509088489690854,15.8250902497703,-115.86249731503878,-66.11570296573898,46.04690762958658,-1.0748620406598075,0.4477521480905047,1.7948588461291555,0.40147824807051435,25.3456984759558,25.14163131713867,24.937564158321543,-0.2737293243408203,0.4832201717410319,0.12183470603747182,64.28571428571429,0.0,-64.28571428571429,0.0,0.0003615227592639325,1.0159942032132618,1.0,0.15778296878318115,0.03943841397064678,1.7098110002123592,0.17792145593869732,1.0,0.22166193370312376,4.367060732498841,2.4360655737704917,-124493073.96030806,871689.2511542895,-73340763.8130268,75916209.32780084,6616913.861034834,10064048.62696316,3447134.7659283266,9113114.898431208,58878646.69160337,30826101.699910782,330924937.5291193,330924937.5291193,30352219.725192357,55114534.01616439,58878646.69160337,58878646.69160337,58878646.69160337,26467655.444139335,55114534.01616439,26467655.444139335,0.09311226091875364,0.09033870421053544,24169565.600187115,23495987.542476982,24919358.38117133,24919358.38117133,31658168.71237624,356600.14819948206,1492926331.556476,1119764087.5850625,373162243.97141355,341860675.4072368,373162243.97141355,989605033.4922515,979897585.0134878,201280972.5392632,169979403.97508645,638036909.606251,616442789.5208379,0.005547113416436388,-632370.9294737482,25.238351821899418,2022-01-07,0,0,0,0,0,0,0,0,0,0,1,12.897405677755666,1
25.154405975341795,25.15988063812256,25.072286128997803,25.278140869140625,25.224766074286567,25.15988063812256,25.072286128997803,25.278140869140625,34.75971754753285,43.11134562396355,53.63198683945705,-0.09988053604345382,0.051028312925631605,-0.1509088489690854,15.8250902497703,-115.86249731503878,-66.11570296573898,46.04690762958658,-1.0748620406598075,0.4477521480905047,1.7948588461291555,0.3741041401823324,25.378925342671444,25.154405975341795,24.929886608012147,-0.2737293243408203,0.4832201717410319,0.12183470603747182,64.28571428571429,0.0,-64.28571428571429,-0.2439034602108316,0.0010846297639122149,1.0149036657215897,0.9964015696950247,0.15778296878318115,0.03943841397064678,1.7098110002123592,0.17792145593869732,1.0,0.22166193370312376,4.367060732498841,2.4360655737704917,-124358191.36456776,870744.8154107226,-73261302.4238749,75833957.56031567,6609744.735163213,10053144.687014706,3443399.951851494,9103241.252021192,58814854.35001518,30792703.017706465,330566395.3777434,330566395.3777434,30319334.472601365,55054819.91983251,58814854.35001518,58814854.35001518,58814854.35001518,26438978.94065285,55054819.91983251,26438978.94065285,0.09301137800978175,0.09024082632438397,24143378.972751856,23470530.706298117,24892359.38728588,24892359.38728588,31623868.523325793,356213.7881225684,1491308813.6300282,1118550874.014656,372757939.6153721,341490284.88016886,372757939.6153721,988532841.3499186,978835910.4510264,201062893.74029416,169795239.00509092,637345625.5708576,615774901.7345465,0.005541103370795508,-631685.784270688,25.26572608947754,2022-01-10,0,0,0,0,0,0,0,0,0,0,1,15.464525505081813,1
25.14528160095215,25.15988063812256,25.072286128997803,25.278140869140625,25.1502153467249,25.15988063812256,25.072286128997803,25.278140869140625,34.75971754753285,43.11134562396355,53.63198683945705,-0.09988053604345382,0.051028312925631605,-0.1509088489690854,15.8250902497703,-115.86249731503878,-66.11570296573898,46.04690762958658,-1.0748620406598075,0.4477521480905047,1.7948588461291555,0.5018464874994137,25.3894135329433,25.14528160095215,24.901149668960997,-0.2737293243408203,0.4832201717410319,0.12183470603747182,64.28571428571429,0.0,-64.28571428571429,-0.49091060417953325,-0.01047316815431576,1.020220559618878,0.9902421229844883,0.15778296878318115,0.03943841397064678,1.7098110002123592,0.17792145593869732,1.0,0.22166193370312376,4.367060732498841,2.4360655737704917,-125674400.49363036,879960.7927625296,-74036701.24561101,76636585.40604576,6679702.381424657,10159547.334621932,3479844.953197276,9199590.10615372,59437351.729323596,31118613.489511274,334065115.5069385,334065115.5069385,30640234.80399128,55637521.03330358,59437351.729323596,59437351.729323596,59437351.729323596,26718809.52569863,55637521.03330358,26718809.52569863,0.0939958119541793,0.09119593670448034,24398912.890233777,23718943.18673546,25155820.525711443,25155820.525711443,31958576.06442096,359983.9606755803,1507092850.4772434,1130389634.739175,376703215.73806834,345104623.634323,376703215.73806834,998995489.0925882,989195925.7186419,203190946.69243866,171592354.5886933,644091302.0843189,622292273.3545198,0.005599750499397916,-638371.5569313624,25.00111389160156,2022-01-11,0,0,0,0,0,0,0,0,0,0,1,17.56808778661597,1
25.150757598876954,25.15988063812256,25.072286128997803,25.278140869140625,25.10659866803958,25.15988063812256,25.072286128997803,25.278140869140625,34.75971754753285,43.11134562396355,53.63198683945705,-0.09988053604345382,0.051028312925631605,-0.1509088489690854,15.8250902497703,-115.86249731503878,-66.11570296573898,46.04690762958658,-1.0748620406598075,0.4477521480905047,1.7948588461291555,0.2646111898548078,25.381765356723193,25.150757598876954,24.919749841030715,-0.2737293243408203,0.4832201717410319,0.12183470603747182,64.28571428571429,0.0,-64.28571428571429,0.17241061797900917,0.0007300242359808973,1.010642235432196,1.0018267897525555,0.15778296878318115,0.03943841397064678,1.7098110002123592,0.17792145593869732,1.0,0.22166193370312376,4.367060732498841,2.4360655737704917,-125582722.062904,879318.86867724,-73982692.08734414,76580679.65389054,6674829.5940499585,10152136.029273588,3477306.435223631,9192879.08162569,59393992.67519903,31095912.719586033,333821417.7814686,333821417.7814686,30617883.007341497,55596933.92409276,59393992.67519903,59393992.67519903,59393992.67519903,26699318.376199834,55596933.92409276,26699318.376199834,0.09392724279052336,0.09112941002655031,24381114.086050745,23701640.414800152,25137469.563698713,25137469.563698713,31935262.54877794,359721.3553679618,1505993438.7677147,1129565024.8948855,376428413.8728294,344852872.6794194,376428413.8728294,998266730.1855794,988474315.5116737,203042720.58547178,171467179.3920618,643621442.8322543,621838316.31275,0.005595665527946073,-637905.8701858523,25.019365310668945,2022-01-12,0,0,0,0,0,0,0,0,0,0,1,19.244019734774234,1
25.132508087158204,25.15988063812256,25.072286128997803,25.278140869140625,25.117060219407573,25.15988063812256,25.072286128997803,25.278140869140625,34.75971754753285,42.216650162223225,46.599959567081875,-0.09988053604345382,0.051028312925631605,-0.1509088489690854,15.8250902497703,-115.86249731503878,-66.11570296573898,46.04690762958658,-1.0748620406598075,0.4477521480905047,1.7948588461291555,0.7664577281710798,25.349847697945087,25.132508087158204,24.91516847637132,-0.2737293243408203,0.4832201717410319,0.12183470603747182,64.28571428571429,0.0,-64.28571428571429,0.7499988646736377,0.004741047984299973,1.031343290167945,1.0234026433499672,0.15778296878318115,0.03943841397064678,1.7098110002123592,0.17792145593869732,1.0,0.22166193370312376,4.367060732498841,2.4360655737704917,-124990137.821926,875169.6473845869,-73633591.69585773,76219320.19949402,6643333.232419364,10104231.38344023,3460898.1510208664,9149500.85902068,59113731.63697709,30949181.16660039,332246222.4980032,332246222.4980032,30473407.121931314,55334589.97781638,59113731.63697709,59113731.63697709,59113731.63697709,26573332.929677457,55334589.97781638,26573332.929677457,0.09348403051608087,0.09069939981985718,24266067.495663546,23589800.040866364,25018853.97648401,25018853.97648401,31784570.375467494,358023.94665733096,1498887142.9001749,1124234972.9425368,374652169.95763814,343225623.52882797,374652169.95763814,993556232.412611,983810024.975828,202084627.66880462,170658081.23999444,640584401.4470001,618904062.4549729,0.005569261392447371,-634895.7987390003,25.137983322143555,2022-01-13,0,0,0,0,0,0,0,0,0,0,1,17.731578401466578,1
