SMA_5,SMA_10,SMA_20,SMA_50,EMA_5,EMA_10,EMA_20,EMA_50,RSI,STOCH_K,STOCH_D,MACD,MACD_Signal,MACD_Hist,ADX,CCI,WILLR,ULTOSC,ROC,ATR,NATR,TRANGE,BB_Upper,BB_Middle,BB_Lower,MOM,PPO,APO,AROON_Up,AROON_Down,AROONOSC,BOP,Price_Change,High_Low_Ratio,Close_Open_Ratio,ROE,ROA,Debt_to_Equity,Profit_Margin,Operating_Margin,Asset_Turnover,Financial_Leverage,EPS_Calc,Free_Cash_Flow,Operating_Cash_Flow,Investing_Cash_Flow,Financing_Cash_Flow,Beginning_Cash_Position,End_Cash_Position,Changes_In_Cash,Cash_And_Cash_Equivalents,Net_Income,Pretax_Income,Total_Revenue,Operating_Revenue,Normalized_Income,Net_Income_Common_Stockholders,Net_Income_From_Continuing_Operations,Net_Income_From_Continuing_And_Discontinued_Operation,Net_Income_Including_Noncontrolling_Interests,Net_Income_Continuous_Operations,Diluted_NI_Availto_Com_Stockholders,Net_Income_From_Continuing_Operation_Net_Minority_Interest,Basic_EPS,Diluted_EPS,Diluted_Average_Shares,Basic_Average_Shares,Share_Issued,Ordinary_Shares_Number,Capital_Stock,Common_Stock,Total_Assets,Total_Liabilities_Net_Minority_Interest,Total_Equity_Gross_Minority_Interest,Common_Stock_Equity,Stockholders_Equity,Total_Capitalization,Invested_Capital,Net_Tangible_Assets,Tangible_Book_Value,Total_Debt,Long_Term_Debt_And_Capital_Lease_Obligation,Tax_Rate_For_Calcs,Tax_Effect_Of_Unusual_Items,Close,Date,Sector_basic-materials,Sector_communication-services,Sector_consumer-cyclical,Sector_consumer-defensive,Sector_energy,Sector_financial-services,Sector_healthcare,Sector_industrials,Sector_real-estate,Sector_technology,Sector_utilities,Target_3M_Return,Target_Direction
150.45123291015625,146.21156311035156,137.14649963378906,129.53364013671876,150.45123291015625,146.21156311035156,137.14649963378906,129.53364013671876,11.960293557718161,34.55652608523193,29.546859454854616,-5.579798430061629,-6.57550696348951,0.995708533427881,68.95179453996359,-101.65465340006126,-99.09739942777911,46.112023877039945,-17.750426112221618,4.835596025232529,3.769897139302414,9.384418508789736,161.46040030350198,150.45123291015625,139.44206551681052,-28.47784423828125,-6.074636294386439,-8.168442750588426,92.85714285714286,0.0,-92.85714285714286,0.4523788379096253,-0.03613871683344694,1.0221856947468497,1.0099824368045192,0.3040231636696129,0.14657262508265373,0.7273697043584273,0.18492769744160178,1.0,0.7925942252589817,2.1121973929236497,15.5859375,11406509.395012425,13918434.68801243,130894.37010669996,-15831985.71766752,7217889.551598026,5435232.892049637,-1782656.65954839,5435232.892049637,12434965.160136497,16199736.567014914,67242307.84338473,67242307.84338473,12434965.160136497,12391333.703434262,12964775.705806473,12434965.160136497,12964775.705806473,12964775.705806473,12391333.703434262,12434965.160136497,0.0987940841043426,0.09692416453138974,797832.3511265522,779133.1553970237,1009756.5693945426,741734.7639379664,12466.130486352378,12466.130486352378,84838251.02487111,43936876.899148956,40901374.12572215,40165872.42702736,40165872.42702736,65160464.05216388,65895965.750858665,-11331712.612094311,-11331712.612094311,29750420.40567995,28073725.855265554,0.0014317600186185431,0.0,160.43470764160156,2021-12-31,0,0,0,0,0,0,1,0,0,0,0,-17.918778602256804,0
150.45123291015625,146.21156311035156,137.14649963378906,129.53364013671876,150.45123291015625,146.21156311035156,137.14649963378906,129.53364013671876,11.960293557718161,34.55652608523193,29.546859454854616,-5.579798430061629,-6.57550696348951,0.995708533427881,68.95179453996359,-101.65465340006126,-99.09739942777911,46.112023877039945,-17.750426112221618,4.835596025232529,3.769897139302414,9.384418508789736,161.46040030350198,150.45123291015625,139.44206551681052,-28.47784423828125,-6.074636294386439,-8.168442750588426,92.85714285714286,0.0,-92.85714285714286,-0.825181287422536,-0.05005483510995412,1.058996873020814,0.9539703231253203,0.3040231636696129,0.14657262508265373,0.7273697043584273,0.18492769744160178,1.0,0.7925942252589817,2.1121973929236497,15.5859375,12007545.084281474,14651829.602841822,137791.50096716447,-16666210.116980845,7598217.053332212,5721628.040160353,-1876589.0131718589,5721628.040160353,13090192.591880625,17053338.619698115,70785462.4968462,70785462.4968462,13090192.591880625,13044262.091558237,13647920.095795337,13090192.591880625,13647920.095795337,13647920.095795337,13044262.091558237,13090192.591880625,0.10399977572997889,0.10203132571616226,839872.0058950977,820187.5057569314,1062963.007460983,780818.5054805987,13123.000092110902,13123.000092110902,89308577.12686074,46252013.82464487,43056563.30221587,42282306.296781324,42282306.296781324,68593921.48146369,69368178.48689823,-11928807.083728809,-11928807.083728809,31318039.719822668,29552996.20743375,0.0015072028065791212,0.0,152.4041748046875,2022-01-03,0,0,0,0,0,0,1,0,0,0,0,-15.078744808749732,0
150.45123291015625,146.21156311035156,137.14649963378906,129.53364013671876,150.45123291015625,146.21156311035156,137.14649963378906,129.53364013671876,11.960293557718161,34.55652608523193,29.546859454854616,-5.579798430061629,-6.57550696348951,0.995708533427881,68.95179453996359,-101.65465340006126,-99.09739942777911,46.112023877039945,-17.750426112221618,4.835596025232529,3.769897139302414,7.539070913763737,161.46040030350198,150.45123291015625,139.44206551681052,-28.47784423828125,-6.074636294386439,-8.168442750588426,92.85714285714286,0.0,-92.85714285714286,-0.7134070809747604,-0.03742045422688922,1.0519921029396955,0.9646341277331841,0.3040231636696129,0.14657262508265373,0.7273697043584273,0.18492769744160178,1.0,0.7925942252589817,2.1121973929236497,15.5859375,12474340.574770292,15221422.13303938,143148.1705301509,-17314112.054599203,7893599.117805464,5944057.36677579,-1949541.7510296742,5944057.36677579,13599076.200364336,17716290.24799344,73537260.17520323,73537260.17520323,13599076.200364336,13551360.143520953,14178485.462033994,13599076.200364336,14178485.462033994,14178485.462033994,13551360.143520953,13599076.200364336,0.10804278585251866,0.10599781198780223,872522.1822790151,852072.4436318506,1104285.8869468784,811172.9663375218,13633.15909810961,13633.15909810961,92780464.24218495,48050069.24128732,44730395.00089763,43926038.614109166,43926038.614109166,71260522.60581893,72064878.9926074,-12392541.620181635,-12392541.620181635,32535534.187638585,30701874.28894284,0.0015657955887360849,0.0,146.70114135742188,2022-01-04,0,0,0,0,0,0,1,0,0,0,0,-13.110619847338398,0
150.45123291015625,146.21156311035156,137.14649963378906,129.53364013671876,150.45123291015625,146.21156311035156,137.14649963378906,129.53364013671876,11.960293557718161,34.55652608523193,29.546859454854616,-5.579798430061629,-6.57550696348951,0.995708533427881,68.95179453996359,-101.65465340006126,-99.09739942777911,46.112023877039945,-17.750426112221618,4.835596025232529,3.769897139302414,2.4666603575703903,161.46040030350198,150.45123291015625,139.44206551681052,-28.47784423828125,-6.074636294386439,-8.168442750588426,92.85714285714286,0.0,-92.85714285714286,-0.41352982343426115,-0.005562289803234921,1.0169243729280322,0.9930564899795448,0.3040231636696129,0.14657262508265373,0.7273697043584273,0.18492769744160178,1.0,0.7925942252589817,2.1121973929236497,15.5859375,12544114.575363448,15306561.664910698,143948.85578285923,-17410956.842307735,7937751.1903119525,5977304.868697774,-1960446.3216141781,5977304.868697774,13675141.299371628,17815384.579983387,73948583.62788026,73948583.62788026,13675141.299371628,13627158.347444007,14257791.429921295,13675141.299371628,14257791.429921295,14257791.429921295,13627158.347444007,13675141.299371628,0.10864711257896756,0.10659070035349816,877402.5495336181,856838.427278924,1110462.6017534856,815710.1827695357,13709.414836462784,13709.414836462784,93299422.66954748,48318832.59111308,44980590.07843439,44171734.60308309,44171734.60308309,71659111.35019097,72467966.82554227,-12461858.08634467,-12461858.08634467,32717518.507218435,30873602.21171419,0.0015745537127974238,0.0,145.88514709472656,2022-01-05,0,0,0,0,0,0,1,0,0,0,0,-12.963017778246828,0
150.45123291015625,146.21156311035156,137.14649963378906,129.53364013671876,150.45123291015625,146.21156311035156,137.14649963378906,129.53364013671876,11.960293557718161,34.55652608523193,29.546859454854616,-5.579798430061629,-6.57550696348951,0.995708533427881,68.95179453996359,-101.65465340006126,-99.09739942777911,46.112023877039945,-17.750426112221618,4.835596025232529,3.769897139302414,4.024542058092237,161.46040030350198,150.45123291015625,139.44206551681052,-28.47784423828125,-6.074636294386439,-8.168442750588426,92.85714285714286,0.0,-92.85714285714286,0.4423962647577978,0.006483501415007087,1.0279009723737937,1.012274633623711,0.3040231636696129,0.14657262508265373,0.7273697043584273,0.18492769744160178,1.0,0.7925942252589817,2.1121973929236497,15.5859375,12463308.695798567,15207960.829354208,143021.57519768848,-17298800.047720414,7886618.289472535,5938800.646304016,-1947817.6431685193,5938800.646304016,13587049.643780405,17700622.568513922,73472226.34441254,73472226.34441254,13587049.643780405,13539375.785381176,14165946.495771049,13587049.643780405,14165946.495771049,14165946.495771049,13539375.785381176,13587049.643780405,0.10794723651825534,0.10590407115828837,871750.5535859107,851318.8999862409,1103309.2943821682,810455.5927869013,13621.102399779855,13621.102399779855,92698412.3817018,48007575.408024095,44690836.9736777,43887191.93209069,43887191.93209069,71197502.2436493,72001147.28523631,-12381582.081399888,-12381582.081399888,32506760.87707462,30674722.60430423,0.0015644108528195158,0.0,146.83099365234375,2022-01-06,0,0,0,0,0,0,1,0,0,0,0,-14.65910975653858,0
147.27239990234375,146.21156311035156,137.14649963378906,129.53364013671876,148.4810028076172,146.21156311035156,137.14649963378906,129.53364013671876,11.960293557718161,34.55652608523193,29.546859454854616,-5.579798430061629,-6.57550696348951,0.995708533427881,68.95179453996359,-101.65465340006126,-99.09739942777911,46.112023877039945,-17.750426112221618,4.835596025232529,3.769897139302414,3.0415911859033713,152.6571044706368,147.27239990234375,141.8876953340507,-28.47784423828125,-6.074636294386439,-8.168442750588426,92.85714285714286,0.0,-92.85714285714286,-0.8810977028070496,-0.015599234145536434,1.0210783289405032,0.9817964254872534,0.3040231636696129,0.14657262508265373,0.7273697043584273,0.18492769744160178,1.0,0.7925942252589817,2.1121973929236497,15.5859375,12660807.597991219,15448952.659188192,145287.9560425222,-17572924.20704792,8011593.004630509,6032909.412813302,-1978683.591817207,6032909.412813302,13802355.824039606,17981114.178786434,74636498.56127283,74636498.56127283,13802355.824039606,13753926.505358767,14390426.12230696,13802355.824039606,14390426.12230696,14390426.12230696,13753926.505358767,13802355.824039606,0.10965781444161793,0.10758227221243905,885564.684449659,864809.2621578701,1120792.8037565998,823298.4175742924,13836.948194525921,13836.948194525921,94167350.93784617,48768323.91160661,45399027.02623955,44582647.082762524,44582647.082762524,72325728.21278699,73142108.15626402,-12577785.908824064,-12577785.908824064,33021876.866236113,31160807.334072378,0.001589201174037691,0.0,144.54054260253906,2022-01-07,0,0,0,0,0,0,1,0,0,0,0,-13.44274845504549,0
146.391455078125,146.21156311035156,137.14649963378906,129.53364013671876,148.32048543294272,146.21156311035156,137.14649963378906,129.53364013671876,11.960293557718161,34.55652608523193,29.546859454854616,-5.579798430061629,-6.57550696348951,0.995708533427881,68.95179453996359,-101.65465340006126,-99.09739942777911,46.112023877039945,-17.750426112221618,4.835596025232529,3.769897139302414,3.7834461572169857,148.68177809173324,146.391455078125,144.10113206451678,-28.47784423828125,-6.074636294386439,-8.168442750588426,92.85714285714286,0.0,-92.85714285714286,0.7941186370317179,0.023930365963590328,1.026185751203291,1.0207214471764947,0.3040231636696129,0.14657262508265373,0.7273697043584273,0.18492769744160178,1.0,0.7925942252589817,2.1121973929236497,15.5859375,12364910.758434739,15087893.838024465,141892.41853941506,-17162225.86143401,7824353.365173458,5891913.76030333,-1932439.6048701287,5891913.76030333,13479779.76124443,17560875.989711415,72892162.43824807,72892162.43824807,13479779.76124443,13432482.288397957,14054106.2172373,13479779.76124443,14054106.2172373,14054106.2172373,13432482.288397957,13479779.76124443,0.1070949920880823,0.10506795753751924,864868.0749069108,844597.72940128,1094598.6573040588,804057.0383900186,13513.56367042048,13513.56367042048,91966557.55904658,47628555.156396985,44338002.4026496,43540702.146094784,43540702.146094784,70635397.30528785,71432697.56184267,-12283829.376412217,-12283829.376412217,32250119.699458476,30432545.38578692,0.0015520598146751329,0.0,147.99945068359375,2022-01-10,0,0,0,0,0,0,1,0,0,0,0,-14.985067982281594,0
146.33211669921874,146.21156311035156,137.14649963378906,129.53364013671876,147.6818067762587,146.21156311035156,137.14649963378906,129.53364013671876,11.960293557718161,34.55652608523193,29.546859454854616,-5.579798430061629,-6.57550696348951,0.995708533427881,68.95179453996359,-101.65465340006126,-99.09739942777911,46.112023877039945,-17.750426112221618,4.835596025232529,3.769897139302414,4.200734461864272,148.60255849407082,146.33211669921874,144.06167490436667,-28.47784423828125,-6.074636294386439,-8.168442750588426,92.85714285714286,0.0,-92.85714285714286,-0.30904950855233215,-0.01077707527518501,1.0291355730883553,0.9912104852636002,0.3040231636696129,0.14657262508265373,0.7273697043584273,0.18492769744160178,1.0,0.7925942252589817,2.1121973929236497,15.5859375,12499620.10521991,15252268.68576834,143438.26350252356,-17349199.49030523,7909595.673139157,5956103.132104788,-1953492.5410343686,5956103.132104788,13626635.032739738,17752192.706812322,73686285.0792964,73686285.0792964,13626635.032739738,13578822.278238898,14207218.480249953,13626635.032739738,14207218.480249953,14207218.480249953,13578822.278238898,13626635.032739738,0.1082617369769047,0.10621261892686865,874290.3680153817,853799.1875150212,1106523.7470194674,812816.8265143002,13660.78700024034,13660.78700024034,92968485.93013564,48147443.782347076,44821042.147788554,44015055.71477437,44015055.71477437,71404933.65025626,72210920.08327043,-12417655.38321847,-12417655.38321847,32601468.17607357,30764092.324541245,0.0015689687085516035,0.0,146.40444946289062,2022-01-11,0,0,0,0,0,0,1,0,0,0,0,-11.821314588105468,0
144.4441131591797,146.21156311035156,137.14649963378906,129.53364013671876,143.93624764901622,146.21156311035156,137.14649963378906,129.53364013671876,11.960293557718161,34.55652608523193,29.546859454854616,-5.579798430061629,-6.57550696348951,0.995708533427881,68.95179453996359,-101.65465340006126,-99.09739942777911,46.112023877039945,-17.750426112221618,4.835596025232529,3.769897139302414,10.645538266580587,152.74705633516032,144.4441131591797,136.14116998319906,-28.47784423828125,-6.074636294386439,-8.168442750588426,92.85714285714286,0.0,-92.85714285714286,-0.6596843860013542,-0.06802607506053826,1.039139420937269,0.9749536255952945,0.3040231636696129,0.14657262508265373,0.7273697043584273,0.18492769744160178,1.0,0.7925942252589817,2.1121973929236497,15.5859375,13411984.789200887,16365553.02419977,153908.02217115773,-18615541.729273364,8486928.07972384,6390847.396821407,-2096080.6829024337,6390847.396821407,14621262.106259983,19047949.982039947,79064749.67535473,79064749.67535473,14621262.106259983,14569959.432202931,15244223.148381336,14621262.106259983,15244223.148381336,15244223.148381336,14569959.432202931,14621262.106259983,0.11616391197204047,0.11396522594102394,938106.03990039,916119.1795902245,1187290.456748931,872145.4589698937,14657.906873443593,14657.906873443593,99754385.22722037,51661792.77545194,48092592.45176843,47227775.946235254,47227775.946235254,76616879.22748967,77481695.73302282,-13324037.347960226,-13324037.347960226,34981094.75347313,33009606.27899497,0.0016834899202287435,0.0,136.44512939453125,2022-01-12,0,0,0,0,0,0,1,0,0,0,0,-3.965055957973033,0
141.97189331054688,146.21156311035156,137.14649963378906,129.53364013671876,140.7807965690707,146.21156311035156,137.14649963378906,129.53364013671876,11.960293557718161,22.502831397363213,30.144264235305865,-5.579798430061629,-6.57550696348951,0.995708533427881,68.95179453996359,-101.65465340006126,-99.09739942777911,46.112023877039945,-17.750426112221618,4.835596025232529,3.769897139302414,3.6814403501484207,152.90448926992588,141.97189331054688,131.03929735116787,-28.47784423828125,-6.074636294386439,-8.168442750588426,92.85714285714286,0.0,-92.85714285714286,-0.5541590757097029,-0.014476405234225442,1.0276635870159834,0.9850552808457687,0.3040231636696129,0.14657262508265373,0.7273697043584273,0.18492769744160178,1.0,0.7925942252589817,2.1121973929236497,15.5859375,13608994.102661196,16605947.448766366,156168.78478463666,-18888986.350141767,8611592.989552822,6484722.872962056,-2126870.1165907662,6484722.872962056,14836034.554540483,19327746.269298606,80226135.72650763,80226135.72650763,14836034.554540483,14783978.292945605,15468146.302478299,14836034.554540483,15468146.302478299,15468146.302478299,14783978.292945605,14836034.554540483,0.11787024946840434,0.11563926682862383,951885.9263063568,929576.0999085516,1204730.6254814828,884956.4471129411,14873.217598536825,14873.217598536825,101219682.36684236,52420655.42604304,48799026.940799326,47921507.10248565,47921507.10248565,77742308.387552,78619828.22586566,-13519754.797069974,-13519754.797069974,35494933.79890814,33494486.031904932,0.0017082187876271515,0.0,134.4698944091797,2022-01-13,0,0,0,0,0,0,1,0,0,0,0,-4.371072889909345,0
