SMA_5,SMA_10,SMA_20,SMA_50,EMA_5,EMA_10,EMA_20,EMA_50,RSI,STOCH_K,STOCH_D,MACD,MACD_Signal,MACD_Hist,ADX,CCI,WILLR,ULTOSC,ROC,ATR,NATR,TRANGE,BB_Upper,BB_Middle,BB_Lower,MOM,PPO,APO,AROON_Up,AROON_Down,AROONOSC,BOP,Price_Change,High_Low_Ratio,Close_Open_Ratio,ROE,ROA,Debt_to_Equity,Profit_Margin,Operating_Margin,Asset_Turnover,Financial_Leverage,EPS_Calc,Free_Cash_Flow,Operating_Cash_Flow,Investing_Cash_Flow,Financing_Cash_Flow,Beginning_Cash_Position,End_Cash_Position,Changes_In_Cash,Cash_And_Cash_Equivalents,Net_Income,Pretax_Income,Total_Revenue,Operating_Revenue,Normalized_Income,Net_Income_Common_Stockholders,Net_Income_From_Continuing_Operations,Net_Income_From_Continuing_And_Discontinued_Operation,Net_Income_Including_Noncontrolling_Interests,Net_Income_Continuous_Operations,Diluted_NI_Availto_Com_Stockholders,Net_Income_From_Continuing_Operation_Net_Minority_Interest,Basic_EPS,Diluted_EPS,Diluted_Average_Shares,Basic_Average_Shares,Share_Issued,Ordinary_Shares_Number,Capital_Stock,Common_Stock,Total_Assets,Total_Liabilities_Net_Minority_Interest,Total_Equity_Gross_Minority_Interest,Common_Stock_Equity,Stockholders_Equity,Total_Capitalization,Invested_Capital,Net_Tangible_Assets,Tangible_Book_Value,Total_Debt,Long_Term_Debt_And_Capital_Lease_Obligation,Tax_Rate_For_Calcs,Tax_Effect_Of_Unusual_Items,Close,Date,Sector_basic-materials,Sector_communication-services,Sector_consumer-cyclical,Sector_consumer-defensive,Sector_energy,Sector_financial-services,Sector_healthcare,Sector_industrials,Sector_real-estate,Sector_technology,Sector_utilities,Target_3M_Return,Target_Direction
194.38766784667968,192.49091186523438,188.66303634643555,199.94091613769533,194.38766784667968,192.49091186523438,188.66303634643555,199.94091613769533,33.56510975325863,48.54581509050839,34.4223705747642,4.129797770629892,0.7913663974449826,3.3384313731849096,23.877250101967412,-126.50080836566133,-82.41205139474523,46.99359048050844,-3.7749384671686093,3.5821352625047718,1.9020702462123302,4.247433347839916,198.9387967430578,194.38766784667968,189.83653895030156,-7.411819458007784,-0.8380739750847502,-1.5886513147598862,85.71428571428572,14.285714285714286,-71.42857142857143,0.8357897306743487,0.8247471327196301,1.0232398846038673,1.019412260169859,0.38314234493657445,0.09113070955698539,2.275050758657078,0.07011106137152087,1.0,1.2998050204101275,4.2043164900081225,10.17434222951189,9143962.006046077,14595957.503857972,-5427023.865125226,-14423763.759313082,7011090.191498426,1756260.0709180892,-5254830.120580336,1756260.0709180892,12219608.450765304,15601026.24771314,174289309.15784013,174289309.15784013,12219608.450765304,12219608.450765304,12219608.450765304,12219608.450765304,12219608.450765304,12219608.450765304,12219608.450765304,12219608.450765304,0.05215368523587412,0.051797165903207,1201021.9604487922,1193122.5106635538,1171502.1546108222,1171502.1546108222,1025069.4784177933,1025069.4784177933,134088810.56856252,102195680.99869433,31893129.569868203,31893129.569868203,31893129.569868203,53142028.12989387,53142028.12989387,3685630.650379355,3685630.650379355,72558488.62387714,66530464.840275,0.0011052099312680354,0.0,196.34278869628903,2022-01-31,0,0,0,1,0,0,0,0,0,0,0,17.082334662597408,1
194.38766784667968,192.49091186523438,188.66303634643555,199.94091613769533,194.38766784667968,192.49091186523438,188.66303634643555,199.94091613769533,33.56510975325863,48.54581509050839,34.4223705747642,4.129797770629892,0.7913663974449826,3.3384313731849096,23.877250101967412,-126.50080836566133,-82.41205139474523,46.99359048050844,-3.7749384671686093,3.5821352625047718,1.9020702462123302,4.247433347839916,198.9387967430578,194.38766784667968,189.83653895030156,-7.411819458007784,-0.8380739750847502,-1.5886513147598862,85.71428571428572,14.285714285714286,-71.42857142857143,0.15521015539623662,0.0030698220737312987,1.0219549924400582,1.0033585882083866,0.38314234493657445,0.09113070955698539,2.275050758657078,0.07011106137152087,1.0,1.2998050204101275,4.2043164900081225,10.17434222951189,9115977.576857,14551287.639859915,-5410414.854177827,-14379620.881718494,6989633.261026439,1750885.1649900342,-5238748.096036405,1750885.1649900342,12182211.22982513,15553280.444086947,173755909.43162566,173755909.43162566,12182211.22982513,12182211.22982513,12182211.22982513,12182211.22982513,12182211.22982513,12182211.22982513,12182211.22982513,12182211.22982513,0.05199407268384605,0.05163864445260882,1197346.3202848807,1189471.0461898956,1167916.857660892,1167916.857660892,1021932.327999441,1021932.327999441,133678441.53794733,101882918.56634319,31795522.97160414,31795522.97160414,31795522.97160414,52979390.82648189,52979390.82648189,3674351.0464303847,3674351.0464303847,72336428.65844654,66326853.202233635,0.0011018275168354094,0.0,196.94552612304688,2022-02-01,0,0,0,1,0,0,0,0,0,0,0,18.200441589082285,1
194.38766784667968,192.49091186523438,188.66303634643555,199.94091613769533,194.38766784667968,192.49091186523438,188.66303634643555,199.94091613769533,33.56510975325863,48.54581509050839,34.4223705747642,4.129797770629892,0.7913663974449826,3.3384313731849096,23.877250101967412,-126.50080836566133,-82.41205139474523,46.99359048050844,-3.7749384671686093,3.5821352625047718,1.9020702462123302,3.484607036955282,198.9387967430578,194.38766784667968,189.83653895030156,-7.411819458007784,-0.8380739750847502,-1.5886513147598862,85.71428571428572,14.285714285714286,-71.42857142857143,-0.4864857062734091,-0.01161987637427131,1.0179142651656108,0.9913664779877573,0.38314234493657445,0.09113070955698539,2.275050758657078,0.07011106137152087,1.0,1.2998050204101275,4.2043164900081225,10.17434222951189,9223149.433050478,14722359.638800336,-5474022.316768681,-14548674.682943791,7071806.781571029,1771469.4206588925,-5300337.360912136,1771469.4206588925,12325431.216824211,15736132.356680749,175798668.2231401,175798668.2231401,12325431.216824211,12325431.216824211,12325431.216824211,12325431.216824211,12325431.216824211,12325431.216824211,12325431.216824211,12325431.216824211,0.052605340233991514,0.05224573341598571,1211422.904674155,1203455.0450351979,1181647.4550060343,1181647.4550060343,1033946.6603705372,1033946.6603705372,135250030.1681173,103080703.59873338,32169326.56938394,32169326.56938394,32169326.56938394,53602242.254867196,53602242.254867196,3717548.5004206304,3717548.5004206304,73186850.81716423,67106623.87556239,0.0011147811358179843,0.0,194.65704345703125,2022-02-02,0,0,0,1,0,0,0,0,0,0,0,15.200872553234118,1
194.38766784667968,192.49091186523438,188.66303634643555,199.94091613769533,194.38766784667968,192.49091186523438,188.66303634643555,199.94091613769533,33.56510975325863,48.54581509050839,34.4223705747642,4.129797770629892,0.7913663974449826,3.3384313731849096,23.877250101967412,-126.50080836566133,-82.41205139474523,46.99359048050844,-3.7749384671686093,3.5821352625047718,1.9020702462123302,2.4392129921549213,198.9387967430578,194.38766784667968,189.83653895030156,-7.411819458007784,-0.8380739750847502,-1.5886513147598862,85.71428571428572,14.285714285714286,-71.42857142857143,-0.06563645147225913,-0.006386589244342211,1.0126298154063835,0.9991729192638991,0.38314234493657445,0.09113070955698539,2.275050758657078,0.07011106137152087,1.0,1.2998050204101275,4.2043164900081225,10.17434222951189,9282432.516723113,14816989.665632393,-5509207.361246871,-14642188.32541653,7117261.809291417,1782855.7882604096,-5334406.021031007,1782855.7882604096,12404654.65079677,15837278.549524795,176928638.76448947,176928638.76448947,12404654.65079677,12404654.65079677,12404654.65079677,12404654.65079677,12404654.65079677,12404654.65079677,12404654.65079677,12404654.65079677,0.0529434684199606,0.05258155017880853,1219209.4949210174,1211190.420749205,1189242.659383365,1189242.659383365,1040592.4972210323,1040592.4972210323,136119368.6639733,103743269.24627453,32376099.41769877,32376099.41769877,32376099.41769877,53946778.16808238,53946778.16808238,3741443.5636425028,3741443.5636425028,73657269.54259256,67537961.09145388,0.0011219465475714307,0.0,193.41384887695312,2022-02-03,0,0,0,1,0,0,0,0,0,0,0,15.277506258101228,1
194.38766784667968,192.49091186523438,188.66303634643555,199.94091613769533,194.38766784667968,192.49091186523438,188.66303634643555,199.94091613769533,33.56510975325863,48.54581509050839,34.4223705747642,4.129797770629892,0.7913663974449826,3.3384313731849096,23.877250101967412,-126.50080836566133,-82.41205139474523,46.99359048050844,-3.7749384671686093,3.5821352625047718,1.9020702462123302,4.972611097584661,198.9387967430578,194.38766784667968,189.83653895030156,-7.411819458007784,-0.8380739750847502,-1.5886513147598862,85.71428571428572,14.285714285714286,-71.42857142857143,-0.6420454873854907,-0.014656224532703432,1.0263380992026032,0.9835236967696308,0.38314234493657445,0.09113070955698539,2.275050758657078,0.07011106137152087,1.0,1.2998050204101275,4.2043164900081225,10.17434222951189,9420501.50194631,15037380.89643432,-5591152.548392712,-14859979.521839991,7223125.5593166705,1809374.385518288,-5413751.173798383,1809374.385518288,12589164.269002356,16072845.786247555,179560315.05915952,179560315.05915952,12589164.269002356,12589164.269002356,12589164.269002356,12589164.269002356,12589164.269002356,12589164.269002356,12589164.269002356,12589164.269002356,0.053730961455409114,0.053363659961085025,1237344.2906693257,1229205.938987945,1206931.7216921272,1206931.7216921272,1056070.5036448159,1056070.5036448159,138144038.71320856,105286369.92411564,32857668.789092917,32857668.789092917,32857668.789092917,54749194.65797434,54749194.65797434,3797094.635187738,3797094.635187738,74752864.30632883,68542535.8874614,0.0011386346324046657,0.0,190.57913208007812,2022-02-04,0,0,0,1,0,0,0,0,0,0,0,17.383497277857423,1
192.9015319824219,192.49091186523438,188.66303634643555,199.94091613769533,192.5624816894531,192.49091186523438,188.66303634643555,199.94091613769533,33.56510975325863,48.54581509050839,34.4223705747642,4.129797770629892,0.7913663974449826,3.3384313731849096,23.877250101967412,-126.50080836566133,-82.41205139474523,46.99359048050844,-3.7749384671686093,3.5821352625047718,1.9020702462123302,2.9854481865665434,198.62916407914827,192.9015319824219,187.1738998856955,-7.411819458007784,-0.8380739750847502,-1.5886513147598862,85.71428571428572,14.285714285714286,-71.42857142857143,-0.6151413484541443,-0.008747141866391028,1.0158309932180536,0.9903722868920639,0.38314234493657445,0.09113070955698539,2.275050758657078,0.07011106137152087,1.0,1.2998050204101275,4.2043164900081225,10.17434222951189,9503631.111524664,15170075.700712344,-5640490.7209247025,-14991108.877929758,7286864.799478924,1825340.901336807,-5461523.898142117,1825340.901336807,12700255.203002388,16214677.873928642,181144814.44951046,181144814.44951046,12700255.203002388,12700255.203002388,12700255.203002388,12700255.203002388,12700255.203002388,12700255.203002388,12700255.203002388,12700255.203002388,0.054205101165183046,0.05383455848143668,1248263.0244305904,1240052.857252153,1217582.0849229242,1217582.0849229242,1065389.6177744693,1065389.6177744693,139363067.23323303,106215451.5472018,33147615.686031245,33147615.686031245,33147615.686031245,55232319.59306473,55232319.59306473,3830601.449500119,3830601.449500119,75412508.21417864,69147377.81086195,0.0011486823196137424,0.0,188.912109375,2022-02-07,0,0,0,1,0,0,0,0,0,0,0,20.893064149685184,1
191.70547485351562,192.49091186523438,188.66303634643555,199.94091613769533,192.03006795247393,192.49091186523438,188.66303634643555,199.94091613769533,33.56510975325863,48.54581509050839,34.4223705747642,4.129797770629892,0.7913663974449826,3.3384313731849096,23.877250101967412,-126.50080836566133,-82.41205139474523,46.99359048050844,-3.7749384671686093,3.5821352625047718,1.9020702462123302,4.614742846414202,195.82855959142648,191.70547485351562,187.58239011560477,-7.411819458007784,-0.8380739750847502,-1.5886513147598862,85.71428571428572,14.285714285714286,-71.42857142857143,0.3857134404768189,0.010868181559711587,1.024560218987453,1.0094085988834527,0.38314234493657445,0.09113070955698539,2.275050758657078,0.07011106137152087,1.0,1.2998050204101275,4.2043164900081225,10.17434222951189,9401454.39819968,15006977.148401078,-5579847.920647526,-14829934.457724584,7208521.281415456,1805716.0514444236,-5402805.229971033,1805716.0514444236,12563710.516050296,16040348.454642547,179197266.02732158,179197266.02732158,12563710.516050296,12563710.516050296,12563710.516050296,12563710.516050296,12563710.516050296,12563710.516050296,12563710.516050296,12563710.516050296,0.05362232401216516,0.05325576515661325,1234842.531599513,1226720.6346714986,1204491.4531232598,1204491.4531232598,1053935.2580379315,1053935.2580379315,137864728.33500788,105073493.74012095,32791234.594886918,32791234.594886918,32791234.594886918,54638498.47152616,54638498.47152616,3789417.373479617,3789417.373479617,74601723.1423997,68403951.24928308,0.0011363324522109218,0.0,190.9652404785156,2022-02-08,0,0,0,1,0,0,0,0,0,0,0,15.504840633289504,1
191.53594360351562,192.49091186523438,188.66303634643555,199.94091613769533,192.6231743706597,192.49091186523438,188.66303634643555,199.94091613769533,33.56510975325863,48.54581509050839,34.4223705747642,4.129797770629892,0.7913663974449826,3.3384313731849096,23.877250101967412,-126.50080836566133,-82.41205139474523,46.99359048050844,-3.7749384671686093,3.5821352625047718,1.9020702462123302,3.315037912562559,195.20426970040205,191.53594360351562,187.8676175066292,-7.411819458007784,-0.8380739750847502,-1.5886513147598862,85.71428571428572,14.285714285714286,-71.42857142857143,0.67465314974003,0.01489353099752,1.0143580579193243,1.0096653218090625,0.38314234493657445,0.09113070955698539,2.275050758657078,0.07011106137152087,1.0,1.2998050204101275,4.2043164900081225,10.17434222951189,9263488.347353209,14786750.225564051,-5497963.825982018,-14612305.630866043,7102736.45584314,1779217.2245591306,-5323519.23128401,1779217.2245591306,12379338.455041345,15804956.840031076,176567551.72258502,176567551.72258502,12379338.455041345,12379338.455041345,12379338.455041345,12379338.455041345,12379338.455041345,12379338.455041345,12379338.455041345,12379338.455041345,0.052835418075293836,0.05247423845954475,1216721.2558600202,1208718.54751678,1186815.5785162877,1186815.5785162877,1038468.7909105482,1038468.7909105482,135841567.73519206,103531543.48796189,32310024.24723017,32310024.24723017,32310024.24723017,53836680.206073426,53836680.206073426,3733807.7913996247,3733807.7913996247,73506945.17588957,67400125.39251295,0.0011196568088221446,0.0,193.80938720703125,2022-02-09,0,0,0,1,0,0,0,0,0,0,0,13.77086250969571,1
190.92001647949218,192.49091186523438,188.66303634643555,199.94091613769533,191.86018733271845,192.49091186523438,188.66303634643555,199.94091613769533,33.56510975325863,48.54581509050839,34.4223705747642,4.129797770629892,0.7913663974449826,3.3384313731849096,23.877250101967412,-126.50080836566133,-82.41205139474523,46.99359048050844,-3.7749384671686093,3.5821352625047718,1.9020702462123302,4.548805223768198,194.1252081356635,190.92001647949218,187.71482482332084,-7.411819458007784,-0.8380739750847502,-1.5886513147598862,85.71428571428572,14.285714285714286,-71.42857142857143,-0.2224660793928792,-0.01793088559989664,1.0225915263458216,0.9950273521549855,0.38314234493657445,0.09113070955698539,2.275050758657078,0.07011106137152087,1.0,1.2998050204101275,4.2043164900081225,10.17434222951189,9432623.64279912,15056730.742007433,-5598347.14824572,-14879101.09034634,7232420.15423919,1811702.6576545632,-5420717.496584627,1811702.6576545632,12605363.791125087,16093528.050401554,179791370.2137362,179791370.2137362,12605363.791125087,12605363.791125087,12605363.791125087,12605363.791125087,12605363.791125087,12605363.791125087,12605363.791125087,12605363.791125087,0.05380010154129359,0.05343232740966365,1238936.484224182,1230787.660250496,1208484.7808713072,1208484.7808713072,1057429.43717856,1057429.43717856,138321800.10891682,105421850.63136223,32899949.47755458,32899949.47755458,32899949.47755458,54819644.9889981,54819644.9889981,3801980.671880125,3801980.671880125,74849055.01869006,68630735.25500727,0.0011400998080528036,0.0,190.3342132568359,2022-02-10,0,0,0,1,0,0,0,0,0,0,0,14.76184814774523,1
190.59415588378906,192.49091186523438,188.66303634643555,199.94091613769533,190.89006792233315,192.49091186523438,188.66303634643555,199.94091613769533,33.56510975325863,43.924923416731446,43.149907427118045,4.129797770629892,0.7913663974449826,3.3384313731849096,23.877250101967412,-126.50080836566133,-82.41205139474523,46.99359048050844,-3.7749384671686093,3.5821352625047718,1.9020702462123302,2.6652462210088004,194.18036027642773,190.59415588378906,187.00795149115038,-7.411819458007784,-0.8380739750847502,-1.5886513147598862,85.71428571428572,14.285714285714286,-71.42857142857143,-0.7067133236640342,-0.007273438293541767,1.0141238803215,0.9901297934570124,0.38314234493657445,0.09113070955698539,2.275050758657078,0.07011106137152087,1.0,1.2998050204101275,4.2043164900081225,10.17434222951189,9501733.918134322,15167047.324819736,-5639364.7195481295,-14988116.228873482,7285410.135301448,1824976.5116995731,-5460433.623601875,1824976.5116995731,12697719.873090692,16211440.965916542,181108652.82448152,181108652.82448152,12697719.873090692,12697719.873090692,12697719.873090692,12697719.873090692,12697719.873090692,12697719.873090692,12697719.873090692,12697719.873090692,0.05419428029488131,0.05382381158192802,1248013.835848714,1239805.3076517063,1217339.0211237716,1217339.0211237716,1065176.935893485,1065176.935893485,139335246.4259111,106194247.94088936,33140998.485021744,33140998.485021744,33140998.485021744,55221293.660930425,55221293.660930425,3829836.7531787087,3829836.7531787087,75397453.74600178,69133574.03979774,0.0011484530101551996,0.0,188.9498291015625,2022-02-11,0,0,0,1,0,0,0,0,0,0,0,13.669060913754791,1
