SMA_5,SMA_10,SMA_20,SMA_50,EMA_5,EMA_10,EMA_20,EMA_50,RSI,STOCH_K,STOCH_D,MACD,MACD_Signal,MACD_Hist,ADX,CCI,WILLR,ULTOSC,ROC,ATR,NATR,TRANGE,BB_Upper,BB_Middle,BB_Lower,MOM,PPO,APO,AROON_Up,AROON_Down,AROONOSC,BOP,Price_Change,High_Low_Ratio,Close_Open_Ratio,ROE,ROA,Debt_to_Equity,Profit_Margin,Operating_Margin,Asset_Turnover,Financial_Leverage,EPS_Calc,Free_Cash_Flow,Operating_Cash_Flow,Investing_Cash_Flow,Financing_Cash_Flow,Beginning_Cash_Position,End_Cash_Position,Changes_In_Cash,Cash_And_Cash_Equivalents,Net_Income,Pretax_Income,Total_Revenue,Operating_Revenue,Normalized_Income,Net_Income_Common_Stockholders,Net_Income_From_Continuing_Operations,Net_Income_From_Continuing_And_Discontinued_Operation,Net_Income_Including_Noncontrolling_Interests,Net_Income_Continuous_Operations,Diluted_NI_Availto_Com_Stockholders,Net_Income_From_Continuing_Operation_Net_Minority_Interest,Basic_EPS,Diluted_EPS,Diluted_Average_Shares,Basic_Average_Shares,Share_Issued,Ordinary_Shares_Number,Capital_Stock,Common_Stock,Total_Assets,Total_Liabilities_Net_Minority_Interest,Total_Equity_Gross_Minority_Interest,Common_Stock_Equity,Stockholders_Equity,Total_Capitalization,Invested_Capital,Net_Tangible_Assets,Tangible_Book_Value,Total_Debt,Long_Term_Debt_And_Capital_Lease_Obligation,Tax_Rate_For_Calcs,Tax_Effect_Of_Unusual_Items,Close,Date,Sector_basic-materials,Sector_communication-services,Sector_consumer-cyclical,Sector_consumer-defensive,Sector_energy,Sector_financial-services,Sector_healthcare,Sector_industrials,Sector_real-estate,Sector_technology,Sector_utilities,Target_3M_Return,Target_Direction
141.03666076660156,139.7443359375,135.68523826599122,134.66690872192382,141.03666076660156,139.7443359375,135.68523826599122,134.66690872192382,21.920661643436542,63.306281026271314,40.29955538716745,-1.119721674493178,-1.2006424626644554,0.08092078817127746,30.014649885839955,-117.42836926170285,-97.2828239442713,49.290743977650024,-3.3819600224407997,3.799049367546585,2.937637472230087,2.0354018043865665,147.98558704685558,141.03666076660156,134.08773448634753,-4.8640899658203125,-1.5400443505918067,-2.105668532542694,100.0,14.285714285714286,-85.71428571428572,-0.5122974537037094,-0.2475825814630973,1.0116638726542029,0.9940602023070603,0.30215590041131,0.21163309841121392,0.11284201323345322,0.2951167728237792,1.0,0.7171164701559838,1.4277346156138853,5.609850754197446,465928686.79718655,637248492.842114,-246988371.35283917,-426644721.5312028,184008874.47155052,145628788.0523947,-36384600.04192797,145628788.0523947,528650925.8528396,630865717.6006675,1791327957.3862407,1791327957.3862407,458557624.3304468,528650925.8528396,528650925.8528396,528650925.8528396,528650925.8528396,528650925.8528396,528650925.8528396,528650925.8528396,0.039589893491063996,0.039005848697729016,94236183.63773552,92842263.3976427,92073410.14470243,92073410.14470243,429509322.18422675,429509322.18422675,2497959581.093709,748363014.774094,1749596566.3196151,1749596566.3196151,1749596566.3196151,1838899796.3862162,1838899796.3862162,1580133188.367788,1580133188.367788,197427998.8898423,182208069.692101,0.001126372101431747,13550256.380223915,143.8245849609375,2021-12-31,0,1,0,0,0,0,0,0,0,0,0,-0.988044586241344,0
141.03666076660156,139.7443359375,135.68523826599122,134.66690872192382,141.03666076660156,139.7443359375,135.68523826599122,134.66690872192382,21.920661643436542,63.306281026271314,40.29955538716745,-1.119721674493178,-1.2006424626644554,0.08092078817127746,30.014649885839955,-117.42836926170285,-97.2828239442713,49.290743977650024,-3.3819600224407997,3.799049367546585,2.937637472230087,2.0354018043865665,147.98558704685558,141.03666076660156,134.08773448634753,-4.8640899658203125,-1.5400443505918067,-2.105668532542694,100.0,14.285714285714286,-85.71428571428572,0.29255132838991643,0.002730092487678304,1.0142680481212343,1.0041460250818888,0.30215590041131,0.21163309841121392,0.11284201323345322,0.2951167728237792,1.0,0.7171164701559838,1.4277346156138853,5.609850754197446,464660121.689638,635513482.2583821,-246315906.1478692,-425483113.2800031,183507880.98424566,145232290.4672218,-36285537.16949017,145232290.4672218,527211589.4530569,629148085.13979,1786450781.527984,1786450781.527984,457309128.11523265,527211589.4530569,527211589.4530569,527211589.4530569,527211589.4530569,527211589.4530569,527211589.4530569,527211589.4530569,0.03948210369636481,0.03889964905806228,93979610.60881744,92589485.53873539,91822725.61131284,91822725.61131284,428339914.60120124,428339914.60120124,2491158488.0199494,746325477.1954397,1744833010.8245099,1744833010.8245099,1744833010.8245099,1833893098.6144834,1833893098.6144834,1575831023.9275131,1575831023.9275131,196890469.69762537,181711979.18281284,0.001123305373869178,13513363.647646211,144.2172393798828,2022-01-03,0,1,0,0,0,0,0,0,0,0,0,-1.6749968073583854,0
141.03666076660156,139.7443359375,135.68523826599122,134.66690872192382,141.03666076660156,139.7443359375,135.68523826599122,134.66690872192382,21.920661643436542,63.306281026271314,40.29955538716745,-1.119721674493178,-1.2006424626644554,0.08092078817127746,30.014649885839955,-117.42836926170285,-97.2828239442713,49.290743977650024,-3.3819600224407997,3.799049367546585,2.937637472230087,2.777345058652088,147.98558704685558,141.03666076660156,134.08773448634753,-4.8640899658203125,-1.5400443505918067,-2.105668532542694,100.0,14.285714285714286,-85.71428571428572,-0.4058919267277767,-0.004535402665906019,1.019426565242832,0.9922088715999645,0.30215590041131,0.21163309841121392,0.11284201323345322,0.2951167728237792,1.0,0.7171164701559838,1.4277346156138853,5.609850754197446,466777143.9928873,638408923.7932924,-247438137.73741025,-427421642.5370315,184343955.04942045,145893978.4058232,-36450856.48114934,145893978.4058232,529613600.38815737,632014525.5036507,1794589969.660591,1794589969.660591,459392658.80467296,529613600.38815737,529613600.38815737,529613600.38815737,529613600.38815737,529613600.38815737,529613600.38815737,529613600.38815737,0.03966198677692802,0.03907687843669937,94407787.94193158,93011329.36991918,92241076.03346103,92241076.03346103,430291459.63434345,430291459.63434345,2502508371.1579514,749725785.5217937,1752782585.6361578,1752782585.6361578,1752782585.6361578,1842248437.0873103,1842248437.0873103,1583010614.4886224,1583010614.4886224,197787515.72372165,182539871.0003821,0.001128423227583832,13574931.427833498,143.5631561279297,2022-01-04,0,1,0,0,0,0,0,0,0,0,0,-3.3008788278327548,0
141.03666076660156,139.7443359375,135.68523826599122,134.66690872192382,141.03666076660156,139.7443359375,135.68523826599122,134.66690872192382,21.920661643436542,63.306281026271314,40.29955538716745,-1.119721674493178,-1.2006424626644554,0.08092078817127746,30.014649885839955,-117.42836926170285,-97.2828239442713,49.290743977650024,-3.3819600224407997,3.799049367546585,2.937637472230087,6.852274412698279,147.98558704685558,141.03666076660156,134.08773448634753,-4.8640899658203125,-1.5400443505918067,-2.105668532542694,100.0,14.285714285714286,-85.71428571428572,-0.9635384054021153,-0.046829826684331444,1.0492607131682488,0.954727069801544,0.30215590041131,0.21163309841121392,0.11284201323345322,0.2951167728237792,1.0,0.7171164701559838,1.4277346156138853,5.609850754197446,489710187.1842786,669774340.0557139,-259594922.98912328,-448421126.1565347,193400884.9733172,153061837.73913202,-38241709.089944035,153061837.73913202,555633836.658841,663065781.113507,1882759259.4698858,1882759259.4698858,481962897.77579147,555633836.658841,555633836.658841,555633836.658841,555633836.658841,555633836.658841,555633836.658841,555633836.658841,0.04161060415787146,0.0409967490912643,99046099.62093918,97581032.19530341,96772935.84690554,96772935.84690554,451431939.1022746,451431939.1022746,2625458119.8788486,786560266.4777273,1838897853.4011214,1838897853.4011214,1838897853.4011214,1932759216.204722,1932759216.204722,1660784882.7056873,1660784882.7056873,207504935.90845805,191508165.1846118,0.0011838633427423914,14241876.013190968,136.84011840820312,2022-01-05,0,1,0,0,0,0,0,0,0,0,0,2.213158096038405,1
141.03666076660156,139.7443359375,135.68523826599122,134.66690872192382,141.03666076660156,139.7443359375,135.68523826599122,134.66690872192382,21.920661643436542,63.306281026271314,40.29955538716745,-1.119721674493178,-1.2006424626644554,0.08092078817127746,30.014649885839955,-117.42836926170285,-97.2828239442713,49.290743977650024,-3.3819600224407997,3.799049367546585,2.937637472230087,2.9052315311225243,147.98558704685558,141.03666076660156,134.08773448634753,-4.8640899658203125,-1.5400443505918067,-2.105668532542694,100.0,14.285714285714286,-85.71428571428572,0.018305321909477118,-0.0007447629637707953,1.0213690094525978,1.0003890784589031,0.30215590041131,0.21163309841121392,0.11284201323345322,0.2951167728237792,1.0,0.7171164701559838,1.4277346156138853,5.609850754197446,490075177.02559066,670273534.960148,-259788403.7706688,-448755342.51543444,193545030.14359006,153175917.48941976,-38270211.325955294,153175917.48941976,556047960.5859658,663559976.0078783,1884162513.9279845,1884162513.9279845,482322113.4224762,556047960.5859658,556047960.5859658,556047960.5859658,556047960.5859658,556047960.5859658,556047960.5859658,556047960.5859658,0.041641617292182194,0.04102730470831439,99119920.46667467,97653761.09984349,96845062.4626518,96845062.4626518,451768399.47440517,451768399.47440517,2627414921.202619,787146504.0409986,1840268417.1616204,1840268417.1616204,1840268417.1616204,1934199736.533027,1934199736.533027,1662022695.6543572,1662022695.6543572,207659593.08245757,191650899.67666432,0.001184745697459346,14252490.740435932,136.7382049560547,2022-01-06,0,1,0,0,0,0,0,0,0,0,0,4.428532770169424,1
139.51072692871094,139.7443359375,135.68523826599122,134.66690872192382,139.42274576822916,139.7443359375,135.68523826599122,134.66690872192382,21.920661643436542,63.306281026271314,40.29955538716745,-1.119721674493178,-1.2006424626644554,0.08092078817127746,30.014649885839955,-117.42836926170285,-97.2828239442713,49.290743977650024,-3.3819600224407997,3.799049367546585,2.937637472230087,2.4511734697015584,146.6877499024394,139.51072692871094,132.33370395498247,-4.8640899658203125,-1.5400443505918067,-2.105668532542694,100.0,14.285714285714286,-85.71428571428572,-0.36520313128499754,-0.003973206937628815,1.01815864312982,0.993470161020308,0.30215590041131,0.21163309841121392,0.11284201323345322,0.2951167728237792,1.0,0.7171164701559838,1.4277346156138853,5.609850754197446,492030114.49000466,672947293.8165987,-260824714.33517036,-450545452.834353,194317092.16226906,153786944.84559703,-38422873.352924764,153786944.84559703,558266067.1971964,666206954.0998043,1891678544.2437375,1891678544.2437375,484246123.479806,558266067.1971964,558266067.1971964,558266067.1971964,558266067.1971964,558266067.1971964,558266067.1971964,558266067.1971964,0.04180772804730625,0.04119096493596559,99515315.40825507,98043307.4491887,97231382.86761665,97231382.86761665,453570529.04711914,453570529.04711914,2637895827.204008,790286475.7491595,1847609351.4548488,1847609351.4548488,1847609351.4548488,1941915368.1460328,1941915368.1460328,1668652597.7321591,1668652597.7321591,208487958.88711995,192415405.90230203,0.0011894717147284183,14309344.72818287,136.19491577148438,2022-01-07,0,1,0,0,0,0,0,0,0,0,0,2.962343443125278,1
138.218310546875,139.7443359375,135.68523826599122,134.66690872192382,138.86688300238714,139.7443359375,135.68523826599122,134.66690872192382,21.920661643436542,63.306281026271314,40.29955538716745,-1.119721674493178,-1.2006424626644554,0.08092078817127746,30.014649885839955,-117.42836926170285,-97.2828239442713,49.290743977650024,-3.3819600224407997,3.799049367546585,2.937637472230087,5.466999385327995,143.65640856772382,138.218310546875,132.78021252602616,-4.8640899658203125,-1.5400443505918067,-2.105668532542694,100.0,14.285714285714286,-85.71428571428572,0.6318771416284021,0.011455946724447497,1.0413059612886189,1.0257219233942123,0.30215590041131,0.21163309841121392,0.11284201323345322,0.2951167728237792,1.0,0.7171164701559838,1.4277346156138853,5.609850754197446,486457285.7408382,665325361.9160644,-257870562.90473047,-445442487.42955464,192116218.99258766,152045124.0052805,-37987688.418220714,152045124.0052805,551943037.1684647,658661364.5975231,1870253025.225517,1870253025.225517,478761457.7263738,551943037.1684647,551943037.1684647,551943037.1684647,551943037.1684647,551943037.1684647,551943037.1684647,551943037.1684647,0.04133420559016793,0.040724428057752386,98388185.59575504,96932849.8850566,96130121.31916957,96130121.31916957,448433301.04092616,448433301.04092616,2608018506.14128,781335537.4581215,1826682968.6831589,1826682968.6831589,1826682968.6831589,1919920857.0920308,1919920857.0920308,1649753113.9502535,1649753113.9502535,206126583.7254686,190236071.60097307,0.0011759995268014057,14147274.307420911,137.75515747070312,2022-01-10,0,1,0,0,0,0,0,0,0,0,0,-1.0088368065209248,0
137.3437042236328,139.7443359375,135.68523826599122,134.66690872192382,138.97463017216435,139.7443359375,135.68523826599122,134.66690872192382,21.920661643436542,63.306281026271314,40.29955538716745,-1.119721674493178,-1.2006424626644554,0.08092078817127746,30.014649885839955,-117.42836926170285,-97.2828239442713,49.290743977650024,-3.3819600224407997,3.799049367546585,2.937637472230087,3.49521486980251,139.44484764550822,137.3437042236328,135.2425608017574,-4.8640899658203125,-1.5400443505918067,-2.105668532542694,100.0,14.285714285714286,-85.71428571428572,0.5224716175398378,0.010416793587715967,1.0256991527077775,1.0132942467681199,0.30215590041131,0.21163309841121392,0.11284201323345322,0.2951167728237792,1.0,0.7171164701559838,1.4277346156138853,5.609850754197446,481442201.70130026,658466254.8547659,-255212071.4354935,-440850241.46115905,190135615.53191835,150477629.59818742,-37596058.04188659,150477629.59818742,546252834.1484356,651870959.3679607,1850971833.697217,1850971833.697217,473825713.07670146,546252834.1484356,546252834.1484356,546252834.1484356,546252834.1484356,546252834.1484356,546252834.1484356,546252834.1484356,0.04090807462077246,0.040304583530476557,97373862.17266369,95933530.10382414,95139077.18995602,95139077.18995602,443810221.5707056,443810221.5707056,2581131393.195588,773280434.783562,1807850958.4120262,1807850958.4120262,1807850958.4120262,1900127619.8853667,1900127619.8853667,1632745144.7955725,1632745144.7955725,204001541.77324092,188274851.33683932,0.0011638756741421037,14001424.359929506,139.19012451171875,2022-01-11,0,1,0,0,0,0,0,0,0,0,0,-2.5371729158325995,0
138.13787841796875,139.7443359375,135.68523826599122,134.66690872192382,139.58674990807052,139.7443359375,135.68523826599122,134.66690872192382,21.920661643436542,63.306281026271314,40.29955538716745,-1.119721674493178,-1.2006424626644554,0.08092078817127746,30.014649885839955,-117.42836926170285,-97.2828239442713,49.290743977650024,-3.3819600224407997,3.799049367546585,2.937637472230087,2.780233142153861,141.50042614558444,138.13787841796875,134.77533069035306,-4.8640899658203125,-1.5400443505918067,-2.105668532542694,100.0,14.285714285714286,-85.71428571428572,0.05492161098612543,0.011644970315603187,1.0120631502275756,1.000660456556899,0.30215590041131,0.21163309841121392,0.11284201323345322,0.2951167728237792,1.0,0.7171164701559838,1.4277346156138853,5.609850754197446,475900356.18039465,650886698.5710847,-252274344.1860586,-435775646.98772424,187946978.5458447,148745492.75052777,-37163292.6026981,148745492.75052777,539964958.238285,644367321.042081,1829665434.0304472,1829665434.0304472,468371540.3921614,539964958.238285,539964958.238285,539964958.238285,539964958.238285,539964958.238285,539964958.238285,539964958.238285,0.040437184804082364,0.03984064045502319,96252998.85817249,94829246.34508461,94043938.31985886,94043938.31985886,438701554.9854907,438701554.9854907,2551420180.9260736,764379260.979592,1787040919.9464815,1787040919.9464815,1787040919.9464815,1878255391.605005,1878255391.605005,1613950736.3795865,1613950736.3795865,201653295.13732326,186107633.46957892,0.001150478387471258,13840255.001279233,140.8109893798828,2022-01-12,0,1,0,0,0,0,0,0,0,0,0,-5.391881332296077,0
138.45201110839844,139.7443359375,135.68523826599122,134.66690872192382,139.1607894081147,139.7443359375,135.68523826599122,134.66690872192382,21.920661643436542,69.73874428836884,56.92695334010517,-1.119721674493178,-1.2006424626644554,0.08092078817127746,30.014649885839955,-117.42836926170285,-97.2828239442713,49.290743977650024,-3.3819600224407997,3.799049367546585,2.937637472230087,4.246259243092197,141.51275141968364,138.45201110839844,135.39127079711324,-4.8640899658203125,-1.5400443505918067,-2.105668532542694,100.0,14.285714285714286,-85.71428571428572,-0.6343212937196532,-0.01776935864664242,1.030749237576819,0.9808975350752432,0.30215590041131,0.21163309841121392,0.11284201323345322,0.2951167728237792,1.0,0.7171164701559838,1.4277346156138853,5.609850754197446,484509784.3055269,662661773.2819518,-256838194.17246512,-443659186.1839035,191347093.67942712,151436420.82431895,-37835607.07441685,151436420.82431895,549733367.6073259,656024454.8614827,1862765583.7629535,1862765583.7629535,476844766.0590388,549733367.6073259,549733367.6073259,549733367.6073259,549733367.6073259,549733367.6073259,549733367.6073259,549733367.6073259,0.04116872667336701,0.04056139034731102,97994294.62468323,96544785.2598296,95745270.36774303,95745270.36774303,446638026.259321,446638026.259321,2597577466.541486,778207509.3141046,1819369957.227381,1819369957.227381,1819369957.227381,1912234573.5590856,1912234573.5590856,1643148430.1444914,1643148430.1444914,205301368.78999934,189474473.34075445,0.001171291485965131,14090636.576160526,138.30886840820312,2022-01-13,0,1,0,0,0,0,0,0,0,0,0,-6.709145088209563,0
139.005126953125,139.25792694091797,135.68523826599122,134.66690872192382,139.0940246037822,139.60181940252133,135.68523826599122,134.66690872192382,21.920661643436542,71.24765575005652,68.09756035489887,-1.119721674493178,-1.2006424626644554,0.08092078817127746,30.014649885839955,-117.42836926170285,-97.2828239442713,49.290743977650024,-3.3819600224407997,3.799049367546585,2.937637472230087,3.678634082501901,141.07288997264214,139.005126953125,136.93736393360786,-4.8640899658203125,-1.5400443505918067,-2.105668532542694,100.0,14.285714285714286,-85.71428571428572,0.617889128964684,0.004711386872104706,1.0269127308238637,1.0166290838068182,0.30215590041131,0.21163309841121392,0.11284201323345322,0.2951167728237792,1.0,0.7171164701559838,1.4277346156138853,5.609850754197446,482237775.5804243,659554357.5403965,-255633804.42224398,-441578737.9150898,190449810.94036785,150726290.9558286,-37658184.79693727,150726290.9558286,547155506.3377664,652948163.4560112,1854030528.6696978,1854030528.6696978,474608700.8564371,547155506.3377664,547155506.3377664,547155506.3377664,547155506.3377664,547155506.3377664,547155506.3377664,547155506.3377664,0.04097567441883448,0.04037118607124367,97534770.58696605,96092058.39738265,95296292.66551845,95296292.66551845,444543609.3342257,444543609.3342257,2585396662.6459126,774558265.6695489,1810838396.9763637,1810838396.9763637,1810838396.9763637,1903267543.83894,1903267543.83894,1635443224.4069479,1635443224.4069479,204338650.35525203,188585971.8686295,0.0011657989560679989,14024561.441498026,138.9604949951172,2022-01-14,0,1,0,0,0,0,0,0,0,0,0,-8.163878766849148,0
138.5511260986328,138.3847183227539,135.68523826599122,134.66690872192382,137.8910674686022,138.85333463810693,135.68523826599122,134.66690872192382,21.920661643436542,44.89916944159889,61.96185649334141,-1.119721674493178,-1.2006424626644554,0.08092078817127746,30.014649885839955,-117.42836926170285,-97.2828239442713,49.290743977650024,-6.054814403040554,3.799049367546585,2.937637472230087,4.144854546506167,142.03155854645325,138.5511260986328,135.07069365081236,-8.732086181640625,-1.5400443505918067,-2.105668532542694,100.0,14.285714285714286,-85.71428571428572,-0.17442150430378506,-0.02500956690602696,1.0130845712480352,0.9977341928000413,0.30215590041131,0.21163309841121392,0.11284201323345322,0.2951167728237792,1.0,0.7171164701559838,1.4277346156138853,5.609850754197446,494607699.9444204,676472645.4262822,-262191090.03052655,-452905713.6630682,195335056.09486488,154592584.54211015,-38624158.2673126,154592584.54211015,561190641.2265582,669696995.2658783,1901588431.7820783,1901588431.7820783,486782931.1415332,561190641.2265582,561190641.2265582,561190641.2265582,561190641.2265582,561190641.2265582,561190641.2265582,561190641.2265582,0.04202674511256983,0.04140675098024531,100036643.72116491,98556924.39201704,97740746.40210696,97740746.40210696,455946637.26446944,455946637.26446944,2651714903.9520087,794426529.1010237,1857288374.8509853,1857288374.8509853,1857288374.8509853,1952088430.0364168,1952088430.0364168,1677394125.004012,1677394125.004012,209580159.3732737,193423407.5201976,0.0011957029694830196,14384306.722880725,135.4851531982422,2022-01-18,0,1,0,0,0,0,0,0,0,0,0,-4.405666980698051,0
137.6831848144531,137.51344451904296,135.68523826599122,134.66690872192382,136.87751767600824,138.12553162950937,135.68523826599122,134.66690872192382,21.920661643436542,25.679512741062155,47.27544597757251,-1.119721674493178,-1.2006424626644554,0.08092078817127746,30.014649885839955,-117.42836926170285,-97.2828239442713,49.290743977650024,-6.068923442547769,3.799049367546585,2.937637472230087,2.8823722851878983,142.12499282048248,137.6831848144531,133.24137680842375,-8.712738037109375,-1.5400443505918067,-2.105668532542694,100.0,14.285714285714286,-85.71428571428572,-0.4437012556440806,-0.004684905264070727,1.021398565426084,0.9906051678986523,0.30215590041131,0.21163309841121392,0.11284201323345322,0.2951167728237792,1.0,0.7171164701559838,1.4277346156138853,5.609850754197446,496935797.0760471,679656773.0199647,-263425212.19382235,-455037521.3421537,196254489.7871663,155320245.1763536,-38805960.51601138,155320245.1763536,563832141.3938264,672849230.1662099,1910539126.5934691,1910539126.5934691,489074197.423564,563832141.3938264,563832141.3938264,563832141.3938264,563832141.3938264,563832141.3938264,563832141.3938264,563832141.3938264,0.042224563190936135,0.04160165077294551,100507511.89270972,99020827.58843875,98200807.88389823,98200807.88389823,458092758.43991727,458092758.43991727,2664196411.745916,798165860.5426817,1866030551.2032342,1866030551.2032342,1866030551.2032342,1961276826.1636107,1961276826.1636107,1685289546.8736439,1685289546.8736439,210566644.15290335,194333843.1650285,0.0012013310918390682,14452013.03482399,134.8504180908203,2022-01-19,0,1,0,0,0,0,0,0,0,0,0,-6.19158099913811,0
