SMA_5,SMA_10,SMA_20,SMA_50,EMA_5,EMA_10,EMA_20,EMA_50,RSI,STOCH_K,STOCH_D,MACD,MACD_Signal,MACD_Hist,ADX,CCI,WILLR,ULTOSC,ROC,ATR,NATR,TRANGE,BB_Upper,BB_Middle,BB_Lower,MOM,PPO,APO,AROON_Up,AROON_Down,AROONOSC,BOP,Price_Change,High_Low_Ratio,Close_Open_Ratio,ROE,ROA,Debt_to_Equity,Profit_Margin,Operating_Margin,Asset_Turnover,Financial_Leverage,EPS_Calc,Free_Cash_Flow,Operating_Cash_Flow,Investing_Cash_Flow,Financing_Cash_Flow,Beginning_Cash_Position,End_Cash_Position,Changes_In_Cash,Cash_And_Cash_Equivalents,Net_Income,Pretax_Income,Total_Revenue,Operating_Revenue,Normalized_Income,Net_Income_Common_Stockholders,Net_Income_From_Continuing_Operations,Net_Income_From_Continuing_And_Discontinued_Operation,Net_Income_Including_Noncontrolling_Interests,Net_Income_Continuous_Operations,Diluted_NI_Availto_Com_Stockholders,Net_Income_From_Continuing_Operation_Net_Minority_Interest,Basic_EPS,Diluted_EPS,Diluted_Average_Shares,Basic_Average_Shares,Share_Issued,Ordinary_Shares_Number,Capital_Stock,Common_Stock,Total_Assets,Total_Liabilities_Net_Minority_Interest,Total_Equity_Gross_Minority_Interest,Common_Stock_Equity,Stockholders_Equity,Total_Capitalization,Invested_Capital,Net_Tangible_Assets,Tangible_Book_Value,Total_Debt,Long_Term_Debt_And_Capital_Lease_Obligation,Tax_Rate_For_Calcs,Tax_Effect_Of_Unusual_Items,Close,Date,Sector_basic-materials,Sector_communication-services,Sector_consumer-cyclical,Sector_consumer-defensive,Sector_energy,Sector_financial-services,Sector_healthcare,Sector_industrials,Sector_real-estate,Sector_technology,Sector_utilities,Target_3M_Return,Target_Direction
495.53900146484375,491.8659912109375,483.8463134765625,472.4043701171875,495.53900146484375,491.8659912109375,483.8463134765625,472.4043701171875,33.489993654039,46.045860744078766,28.69374758838222,-9.202724094818166,-8.823783951435473,-0.37894014338269244,21.541936230643422,-143.40276895951,-97.83259896098089,38.97549751129776,-2.6397064804261405,13.024218651829917,2.7377432522964296,16.377131394082653,504.9873073904157,495.53900146484375,486.0906955392718,-13.20208740234375,-1.6787056534743092,-8.095336522811522,92.85714285714286,21.42857142857143,-71.42857142857143,0.35955012148288945,-0.5107415321130322,1.0120970494538835,1.0043410663456882,0.4828703703703704,0.15822208737864077,1.2787037037037037,0.08009522346797728,1.0,1.9754247572815533,3.51760939167556,19.980842911877396,1363632.7080602618,1873495.3774962835,-451878.287421729,-2077440.4452706922,1169684.9475296969,481870.2091532597,-655823.3551961377,481870.2091532597,2085438.291065767,2969200.2514215377,26036986.985866174,26036986.985866174,2085438.291065767,2085438.291065767,2227400.0539283454,2085438.291065767,2227400.0539283454,2227400.0539283454,2085438.291065767,2085438.291065767,0.03986926128844813,0.039669315143571256,104371.88762572678,103772.04919109617,219259.3808925855,102412.82529553045,109970.37968227918,109970.37968227918,13180449.870283352,8861613.140942933,4318836.729340419,3746990.754992567,3746990.754992567,8469718.696984265,8469718.696984265,2503325.733858428,2503325.733858428,5522512.521499184,5390548.065880449,0.0004998653621921781,0.0,500.1346740722656,2021-12-31,0,0,0,0,0,0,0,1,0,0,0,0.4652921548901654,1
495.53900146484375,491.8659912109375,483.8463134765625,472.4043701171875,495.53900146484375,491.8659912109375,483.8463134765625,472.4043701171875,33.489993654039,46.045860744078766,28.69374758838222,-9.202724094818166,-8.823783951435473,-0.37894014338269244,21.541936230643422,-143.40276895951,-97.83259896098089,38.97549751129776,-2.6397064804261405,13.024218651829917,2.7377432522964296,16.377131394082653,504.9873073904157,495.53900146484375,486.0906955392718,-13.20208740234375,-1.6787056534743092,-8.095336522811522,92.85714285714286,21.42857142857143,-71.42857142857143,-0.4307599901451784,-0.015514192862969733,1.0336426009455597,0.9858746740726727,0.4828703703703704,0.15822208737864077,1.2787037037037037,0.08009522346797728,1.0,1.9754247572815533,3.51760939167556,19.980842911877396,1385121.7540919392,1903019.184140978,-458999.2909454226,-2110178.1561605935,1188117.6336419126,489463.84565418964,-666158.2629650382,489463.84565418964,2118302.0374162644,3015990.916167932,26447295.42783758,26447295.42783758,2118302.0374162644,2118302.0374162644,2262500.929704428,2118302.0374162644,2262500.929704428,2262500.929704428,2118302.0374162644,2118302.0374162644,0.04049754805952092,0.04029445102812914,106016.65038650912,105407.35929233379,222714.6184364107,104026.71582778404,111703.36726547896,111703.36726547896,13388156.309346132,9001260.431283686,4386895.878062447,3806038.368281956,3806038.368281956,8603190.249755798,8603190.249755798,2542774.833025085,2542774.833025085,5609540.007040962,5475495.966322387,0.0005077425784794498,0.0,492.37548828125,2022-01-03,0,0,0,0,0,0,0,1,0,0,0,2.3966044715064188,1
495.53900146484375,491.8659912109375,483.8463134765625,472.4043701171875,495.53900146484375,491.8659912109375,483.8463134765625,472.4043701171875,33.489993654039,46.045860744078766,28.69374758838222,-9.202724094818166,-8.823783951435473,-0.37894014338269244,21.541936230643422,-143.40276895951,-97.83259896098089,38.97549751129776,-2.6397064804261405,13.024218651829917,2.7377432522964296,14.32151076643612,504.9873073904157,495.53900146484375,486.0906955392718,-13.20208740234375,-1.6787056534743092,-8.095336522811522,92.85714285714286,21.42857142857143,-71.42857142857143,0.8146896001447753,0.020129216519484183,1.0291906953022931,1.0237813558837732,0.4828703703703704,0.15822208737864077,1.2787037037037037,0.08009522346797728,1.0,1.9754247572815533,3.51760939167556,19.980842911877396,1357790.4952254484,1865468.7595692745,-449942.30486943014,-2068540.0653068048,1164673.6652593657,479805.73218377284,-653013.6106069606,479805.73218377284,2076503.645923963,2956479.3041199283,25925436.69915805,25925436.69915805,2076503.645923963,2076503.645923963,2217857.2018785183,2076503.645923963,2217857.2018785183,2217857.2018785183,2076503.645923963,2076503.645923963,0.039698449376532906,0.03949935986110396,103924.72705391262,103327.45850762576,218320.0077302726,101974.05793621553,109499.23348592327,109499.23348592327,13123980.857076475,8823647.323811125,4300333.53326535,3730937.519138549,3730937.519138549,8433431.87357038,8433431.87357038,2492600.733170471,2492600.733170471,5498852.416147637,5367453.33596453,0.0004977237885723784,0.0,502.28662109375,2022-01-04,0,0,0,0,0,0,0,1,0,0,0,-0.5589489181798474,0
495.53900146484375,491.8659912109375,483.8463134765625,472.4043701171875,495.53900146484375,491.8659912109375,483.8463134765625,472.4043701171875,33.489993654039,46.045860744078766,28.69374758838222,-9.202724094818166,-8.823783951435473,-0.37894014338269244,21.541936230643422,-143.40276895951,-97.83259896098089,38.97549751129776,-2.6397064804261405,13.024218651829917,2.7377432522964296,15.190066941817122,504.9873073904157,495.53900146484375,486.0906955392718,-13.20208740234375,-1.6787056534743092,-8.095336522811522,92.85714285714286,21.42857142857143,-71.42857142857143,-0.7210949905674446,-0.023286267489595947,1.0309738066019027,0.9781604659670584,0.4828703703703704,0.15822208737864077,1.2787037037037037,0.08009522346797728,1.0,1.9754247572815533,3.51760939167556,19.980842911877396,1390162.1836887454,1909944.2318421619,-460669.5799320476,-2117857.0511035286,1192441.169293132,491244.99452930735,-668582.3991934141,491244.99452930735,2126010.494996131,3026966.04512872,26543536.592367806,26543536.592367806,2126010.494996131,2126010.494996131,2270734.1240898273,2126010.494996131,2270734.1240898273,2270734.1240898273,2126010.494996131,2126010.494996131,0.04064491780462402,0.04044108170730896,106402.4427984641,105790.9345065189,223525.07235578058,104405.26690877594,112109.85352328591,112109.85352328591,13436875.535009105,9034015.833003694,4402859.702005411,3819888.4636843237,3819888.4636843237,8634497.082266167,8634497.082266167,2552027.9383846177,2552027.9383846177,5629953.007842104,5495421.183614161,0.0005095902432876632,0.0,490.5902404785156,2022-01-05,0,0,0,0,0,0,0,1,0,0,0,2.159270464835019,1
495.53900146484375,491.8659912109375,483.8463134765625,472.4043701171875,495.53900146484375,491.8659912109375,483.8463134765625,472.4043701171875,33.489993654039,46.045860744078766,28.69374758838222,-9.202724094818166,-8.823783951435473,-0.37894014338269244,21.541936230643422,-143.40276895951,-97.83259896098089,38.97549751129776,-2.6397064804261405,13.024218651829917,2.7377432522964296,7.79767281507975,504.9873073904157,495.53900146484375,486.0906955392718,-13.20208740234375,-1.6787056534743092,-8.095336522811522,92.85714285714286,21.42857142857143,-71.42857142857143,0.03341844057348616,0.003501380129874665,1.0159559940381073,1.0005295954556304,0.4828703703703704,0.15822208737864077,1.2787037037037037,0.08009522346797728,1.0,1.9754247572815533,3.51760939167556,19.980842911877396,1385311.6808955744,1903280.1246321895,-459062.22856656864,-2110467.5021268353,1188280.547395764,489530.9605510754,-666249.6060612147,489530.9605510754,2118592.497322704,3016404.4664661703,26450921.86014981,26450921.86014981,2118592.497322704,2118592.497322704,2262811.1620493694,2118592.497322704,2262811.1620493694,2262811.1620493694,2118592.497322704,2118592.497322704,0.04050310105140433,0.04029997617150762,106031.18730608355,105421.81266639342,222745.15688942216,104040.97988909957,111718.68394319149,111718.68394319149,13389992.08279124,9002494.677022267,4387497.405768975,3806560.249264379,3806560.249264379,8604369.912424712,8604369.912424712,2543123.4963068315,2543123.4963068315,5610309.18274718,5476246.76201535,0.0005078121997417795,0.0,492.3079833984375,2022-01-06,0,0,0,0,0,0,0,1,0,0,0,2.152951398058065,1
493.10703735351564,491.8659912109375,483.8463134765625,472.4043701171875,493.0176188151042,491.8659912109375,483.8463134765625,472.4043701171875,33.489993654039,46.045860744078766,28.69374758838222,-9.202724094818166,-8.823783951435473,-0.37894014338269244,21.541936230643422,-143.40276895951,-97.83259896098089,38.97549751129776,-2.6397064804261405,13.024218651829917,2.7377432522964296,5.356092084939974,502.82761290718184,493.10703735351564,483.3864617998494,-13.20208740234375,-1.6787056534743092,-8.095336522811522,92.85714285714286,21.42857142857143,-71.42857142857143,-0.605404097612474,-0.008801664870231374,1.01098050760953,0.9933988499969303,0.4828703703703704,0.15822208737864077,1.2787037037037037,0.08009522346797728,1.0,1.9754247572815533,3.51760939167556,19.980842911877396,1397613.0021588546,1920180.9135232358,-463138.61948372604,-2129208.0780689884,1198832.267247698,493877.9083875132,-672165.7840294784,493877.9083875132,2137405.2217766647,3043189.6014749254,26685801.340341065,26685801.340341065,2137405.2217766647,2137405.2217766647,2282904.522587924,2137405.2217766647,2282904.522587924,2282904.522587924,2137405.2217766647,2137405.2217766647,0.04086276138276769,0.040657832790075774,106972.7253851792,106357.93960710346,224723.09425364417,104964.84528041346,112710.7259805528,112710.7259805528,13508892.830250982,9082435.228105636,4426457.602145346,3840361.8270464716,3840361.8270464716,8680775.186429484,8680775.186429484,2565705.9805027656,2565705.9805027656,5660127.73015067,5524874.858974006,0.0005123214817297854,0.0,487.974853515625,2022-01-07,0,0,0,0,0,0,0,1,0,0,0,2.964797910688957,1
491.1576171875,491.8659912109375,483.8463134765625,472.4043701171875,489.5545416937934,491.8659912109375,483.8463134765625,472.4043701171875,33.489993654039,46.045860744078766,28.69374758838222,-9.202724094818166,-8.823783951435473,-0.37894014338269244,21.541936230643422,-143.40276895951,-97.83259896098089,38.97549751129776,-2.6397064804261405,13.024218651829917,2.7377432522964296,9.920888268172746,504.0689372185541,491.1576171875,478.24629715644596,-13.20208740234375,-1.6787056534743092,-8.095336522811522,92.85714285714286,21.42857142857143,-71.42857142857143,-0.23485845654525667,-0.01095643766463461,1.0136668679979173,0.9968307195077576,0.4828703703703704,0.15822208737864077,1.2787037037037037,0.08009522346797728,1.0,1.9754247572815533,3.51760939167556,19.980842911877396,1413095.4948624915,1941452.3147890829,-468269.18158199865,-2152795.0427597193,1212112.7045374743,499348.994518857,-679611.9095526352,499348.994518857,2161082.992876215,3076901.4807489733,26981421.604251266,26981421.604251266,2161082.992876215,2161082.992876215,2308194.107444011,2161082.992876215,2308194.107444011,2308194.107444011,2161082.992876215,2161082.992876215,0.041315431330730325,0.041108232577817934,108157.74902026694,107536.15276152978,227212.5342214653,106127.625999169,113959.31410181383,113959.31410181383,13658541.791984668,9183048.729077071,4475493.062907598,3882904.6295781657,3882904.6295781657,8776939.17336879,8776939.17336879,2594128.3864631075,2594128.3864631075,5722829.555440178,5586078.378518001,0.000517996882280972,0.0,482.6283874511719,2022-01-10,0,0,0,0,0,0,0,1,0,0,0,5.564116120079417,1
488.36089477539065,491.8659912109375,483.8463134765625,472.4043701171875,489.1373641402633,491.8659912109375,483.8463134765625,472.4043701171875,33.489993654039,46.045860744078766,28.69374758838222,-9.202724094818166,-8.823783951435473,-0.37894014338269244,21.541936230643422,-143.40276895951,-97.83259896098089,38.97549751129776,-2.6397064804261405,13.024218651829917,2.7377432522964296,14.78475554482651,494.9069476134118,488.36089477539065,481.8148419373695,-13.20208740234375,-1.6787056534743092,-8.095336522811522,92.85714285714286,21.42857142857143,-71.42857142857143,0.38381291022997843,0.011757745150466015,1.0311850679927104,1.0117576580904808,0.4828703703703704,0.15822208737864077,1.2787037037037037,0.08009522346797728,1.0,1.9754247572815533,3.51760939167556,19.980842911877396,1396673.7607255378,1918890.4894425643,-462827.3752550902,-2127777.180929375,1198026.612939061,493546.00635609176,-671714.0667419009,493546.00635609176,2135968.815889642,3041144.4789991546,26667867.61314949,26667867.61314949,2135968.815889642,2135968.815889642,2281370.3364343825,2135968.815889642,2281370.3364343825,2281370.3364343825,2135968.815889642,2135968.815889642,0.04083530027693141,0.04063050940292473,106900.83623148543,106286.4636094654,224572.0730189961,104894.30548751171,112634.9807036724,112634.9807036724,13499814.414520154,9076331.535975927,4423482.878544224,3837780.9788851286,3837780.9788851286,8674941.42292284,8674941.42292284,2563981.742563597,2563981.742563597,5656323.940064421,5521161.963220014,0.0005119771850166927,0.0,488.3030090332031,2022-01-11,0,0,0,0,0,0,0,1,0,0,0,3.405260753067691,1
488.57127075195314,491.8659912109375,483.8463134765625,472.4043701171875,489.97228288061825,491.8659912109375,483.8463134765625,472.4043701171875,33.489993654039,46.045860744078766,28.69374758838222,-9.202724094818166,-8.823783951435473,-0.37894014338269244,21.541936230643422,-143.40276895951,-97.83259896098089,38.97549751129776,-2.6397064804261405,13.024218651829917,2.7377432522964296,8.743445219943055,495.4495658036063,488.57127075195314,481.6929757003,-13.20208740234375,-1.6787056534743092,-8.095336522811522,92.85714285714286,21.42857142857143,-71.42857142857143,0.10661422511428895,0.006838195272923064,1.0145971929816124,1.0015531476543822,0.4828703703703704,0.15822208737864077,1.2787037037037037,0.08009522346797728,1.0,1.9754247572815533,3.51760939167556,19.980842911877396,1387187.8989919943,1905857.8612250716,-459683.9665281389,-2113325.8461183026,1189889.9133582357,490193.9643065552,-667151.9514213698,490193.9643065552,2121461.84552588,3020489.780063214,26486746.071369138,26486746.071369138,2121461.84552588,2121461.84552588,2265875.8350103837,2121461.84552588,2265875.8350103837,2265875.8350103837,2121461.84552588,2121461.84552588,0.040557957046774736,0.04035455706158529,106174.79226888872,105564.59231332039,223046.83520485775,104181.88938400183,111869.9918541931,111869.9918541931,13408127.023688016,9014687.34359607,4393439.680091947,3811715.722450143,3811715.722450143,8616023.372624762,8616023.372624762,2546567.8145718137,2546567.8145718137,5617907.590932388,5483663.600707356,0.000508499962973605,0.0,491.6421203613281,2022-01-12,0,0,0,0,0,0,0,1,0,0,0,2.137642721544948,1
488.19298095703124,491.8659912109375,483.8463134765625,472.4043701171875,490.1203667283549,491.8659912109375,483.8463134765625,472.4043701171875,33.489993654039,63.076454818253616,43.923726539814105,-9.202724094818166,-8.823783951435473,-0.37894014338269244,21.541936230643422,-143.40276895951,-97.83259896098089,38.97549751129776,-2.6397064804261405,13.024218651829917,2.7377432522964296,10.075269459831702,494.381042966657,488.19298095703124,482.0049189474055,-13.20208740234375,-1.6787056534743092,-8.095336522811522,92.85714285714286,21.42857142857143,-71.42857142857143,-0.35727773912738825,-0.0024928416153588984,1.020640574719981,0.9927134586575044,0.4828703703703704,0.15822208737864077,1.2787037037037037,0.08009522346797728,1.0,1.9754247572815533,3.51760939167556,19.980842911877396,1390654.5806031113,1910620.7361072071,-460832.7495840222,-2118607.1983088455,1192863.5332152788,491418.9940254396,-668819.2117856606,491418.9940254396,2126763.53015989,3028038.199700323,26552938.34107583,26552938.34107583,2126763.53015989,2126763.53015989,2271538.4205159326,2126763.53015989,2271538.4205159326,2271538.4205159326,2126763.53015989,2126763.53015989,0.04065931427745754,0.04045540598118142,106440.13065613256,105828.40576730421,223604.2451725949,104442.247364634,112149.56295186382,112149.56295186382,13441634.89052157,9037215.690957462,4404419.199564106,3821241.4722144143,3821241.4722144143,8637555.430256275,8637555.430256275,2552931.869376973,2552931.869376973,5631947.143146325,5497367.667604088,0.00050977074069029,0.0,490.4165344238281,2022-01-13,0,0,0,0,0,0,0,1,0,0,0,2.4146281800543608,1
