SMA_5,SMA_10,SMA_20,SMA_50,EMA_5,EMA_10,EMA_20,EMA_50,RSI,STOCH_K,STOCH_D,MACD,MACD_Signal,MACD_Hist,ADX,CCI,WILLR,ULTOSC,ROC,ATR,NATR,TRANGE,BB_Upper,BB_Middle,BB_Lower,MOM,PPO,APO,AROON_Up,AROON_Down,AROONOSC,BOP,Price_Change,High_Low_Ratio,Close_Open_Ratio,ROE,ROA,Debt_to_Equity,Profit_Margin,Operating_Margin,Asset_Turnover,Financial_Leverage,EPS_Calc,Free_Cash_Flow,Operating_Cash_Flow,Investing_Cash_Flow,Financing_Cash_Flow,Beginning_Cash_Position,End_Cash_Position,Changes_In_Cash,Cash_And_Cash_Equivalents,Net_Income,Pretax_Income,Total_Revenue,Operating_Revenue,Normalized_Income,Net_Income_Common_Stockholders,Net_Income_From_Continuing_Operations,Net_Income_From_Continuing_And_Discontinued_Operation,Net_Income_Including_Noncontrolling_Interests,Net_Income_Continuous_Operations,Diluted_NI_Availto_Com_Stockholders,Net_Income_From_Continuing_Operation_Net_Minority_Interest,Basic_EPS,Diluted_EPS,Diluted_Average_Shares,Basic_Average_Shares,Share_Issued,Ordinary_Shares_Number,Capital_Stock,Common_Stock,Total_Assets,Total_Liabilities_Net_Minority_Interest,Total_Equity_Gross_Minority_Interest,Common_Stock_Equity,Stockholders_Equity,Total_Capitalization,Invested_Capital,Net_Tangible_Assets,Tangible_Book_Value,Total_Debt,Long_Term_Debt_And_Capital_Lease_Obligation,Tax_Rate_For_Calcs,Tax_Effect_Of_Unusual_Items,Close,Date,Sector_basic-materials,Sector_communication-services,Sector_consumer-cyclical,Sector_consumer-defensive,Sector_energy,Sector_financial-services,Sector_healthcare,Sector_industrials,Sector_real-estate,Sector_technology,Sector_utilities,Target_3M_Return,Target_Direction
127.86548767089843,126.85452346801758,122.97472496032715,122.11922332763672,127.86548767089843,126.85452346801758,122.97472496032715,122.11922332763672,18.50600683870113,54.24517177341721,39.76234375191994,-1.6605115633744134,-1.871411112473314,0.21089954909890052,42.955233731508585,-111.26421691111871,-85.87690159592968,58.29452545730316,-7.435844766191357,2.620047862842983,2.1865181572040546,3.423940704869324,130.68892172380362,127.86548767089843,125.04205361799323,-9.699501037597656,-2.125624442732103,-2.6096299489339145,78.57142857142857,0.0,-78.57142857142857,0.30527313320161237,-0.27856594554871383,1.0069607047038507,1.0021249161342356,0.17838930895023739,0.020971359469152774,0.622911904343239,0.44262652705061084,1.0,0.0473793552521421,8.520938834823198,7.182300884955752,20476456.77185914,23941585.360732343,-6025643.962067122,475504570.4722332,641041122.7278507,1134415637.316596,493420511.8708984,4653391.711163795,31109495.16293687,43682085.61814053,70283847.13006535,70283847.13006535,31664682.3585258,31109495.16293687,31193823.51355104,31109495.16293687,31193823.51355104,31193823.51355104,31109495.16293687,31109495.16293687,0.05535006285766491,0.055043414309977015,4331410.736091506,4308412.095014914,4837380.839776532,4300745.881322716,45997.28215318413,45997.28215318413,1483427681.8675728,1309036652.7974672,174391029.07010546,174092046.73610976,174092046.73610976,269130097.8782804,280790408.9041126,-93144496.36019787,-93144496.36019787,108630248.01843654,96969936.99260436,0.002223201970737233,-226766.60101519778,130.44248962402344,2021-12-31,0,0,0,0,0,1,0,0,0,0,0,-2.7286204102411613,0
127.86548767089843,126.85452346801758,122.97472496032715,122.11922332763672,127.86548767089843,126.85452346801758,122.97472496032715,122.11922332763672,18.50600683870113,54.24517177341721,39.76234375191994,-1.6605115633744134,-1.871411112473314,0.21089954909890052,42.955233731508585,-111.26421691111871,-85.87690159592968,58.29452545730316,-7.435844766191357,2.620047862842983,2.1865181572040546,3.423940704869324,130.68892172380362,127.86548767089843,125.04205361799323,-9.699501037597656,-2.125624442732103,-2.6096299489339145,78.57142857142857,0.0,-78.57142857142857,-0.7329541760047071,-0.020618741211361424,1.0264304284880854,0.9811030406934574,0.17838930895023739,0.020971359469152774,0.622911904343239,0.44262652705061084,1.0,0.0473793552521421,8.520938834823198,7.182300884955752,20907544.011191037,24445623.342175066,-6152500.783525329,485515284.4770255,654536848.6229064,1158298290.0037456,503808407.0356752,4751358.747582538,31764437.887462832,44601716.87598896,71763520.58951682,71763520.58951682,32331313.34133421,31764437.887462832,31850541.587995626,31764437.887462832,31850541.587995626,31850541.587995626,31764437.887462832,31764437.887462832,0.056515337986072355,0.05620223362049855,4422599.163730039,4399116.336312003,4939221.366926823,4391288.727172659,46965.65483607121,46965.65483607121,1514658023.6815753,1336595570.9797506,178062452.70182467,177757175.9453902,177757175.9453902,274796046.44585264,286701839.9467967,-95105451.04304421,-95105451.04304421,110917221.50452152,99011428.00357746,0.0022700066504101083,-231540.67834183108,127.7529296875,2022-01-03,0,0,0,0,0,1,0,0,0,0,0,0.5920871585931707,1
127.86548767089843,126.85452346801758,122.97472496032715,122.11922332763672,127.86548767089843,126.85452346801758,122.97472496032715,122.11922332763672,18.50600683870113,54.24517177341721,39.76234375191994,-1.6605115633744134,-1.871411112473314,0.21089954909890052,42.955233731508585,-111.26421691111871,-85.87690159592968,58.29452545730316,-7.435844766191357,2.620047862842983,2.1865181572040546,2.0791376347532378,130.68892172380362,127.86548767089843,125.04205361799323,-9.699501037597656,-2.125624442732103,-2.6096299489339145,78.57142857142857,0.0,-78.57142857142857,-0.06880477083741565,0.0008960376550806171,1.0164366477834892,0.9988824773124705,0.17838930895023739,0.020971359469152774,0.622911904343239,0.44262652705061084,1.0,0.0473793552521421,8.520938834823198,7.182300884955752,20888826.83577572,24423738.752574906,-6146992.846469381,485080633.963244,653950884.0062635,1157261340.266098,503357379.86934954,4747105.1626042165,31736001.235334285,44561787.83611009,71699275.3389711,71699275.3389711,32302369.202180736,31736001.235334285,31822027.852778513,31736001.235334285,31822027.852778513,31822027.852778513,31736001.235334285,31736001.235334285,0.0564647434497569,0.05615191938632335,4418639.895998983,4395178.091241466,4934799.60066435,4387357.489655627,46923.609515033444,46923.609515033444,1513302048.0630002,1335399003.1883366,177903044.87466344,177598041.41281572,177598041.41281572,274550039.27246064,286445174.28452164,-95020309.26794271,-95020309.26794271,110817924.4713373,98922789.45927633,0.0022679744598932826,-231333.39490911487,127.86740112304688,2022-01-04,0,0,0,0,0,1,0,0,0,0,0,-1.1661689290993063,0
127.86548767089843,126.85452346801758,122.97472496032715,122.11922332763672,127.86548767089843,126.85452346801758,122.97472496032715,122.11922332763672,18.50600683870113,54.24517177341721,39.76234375191994,-1.6605115633744134,-1.871411112473314,0.21089954909890052,42.955233731508585,-111.26421691111871,-85.87690159592968,58.29452545730316,-7.435844766191357,2.620047862842983,2.1865181572040546,2.422483286196922,130.68892172380362,127.86548767089843,125.04205361799323,-9.699501037597656,-2.125624442732103,-2.6096299489339145,78.57142857142857,0.0,-78.57142857142857,-0.7637825076143964,-0.012530790874087261,1.0191987394372102,0.9855579363138388,0.17838930895023739,0.020971359469152774,0.622911904343239,0.44262652705061084,1.0,0.0473793552521421,8.520938834823198,7.182300884955752,21153901.957374528,24733671.21410732,-6224996.981840651,491236212.2082038,662249392.652078,1171946760.0316184,509744886.44047046,4807344.997426558,32138724.875711653,45127268.19660054,72609125.10116424,72609125.10116424,32712279.941137735,32138724.875711653,32225843.15408347,32138724.875711653,32225843.15408347,32225843.15408347,32138724.875711653,32138724.875711653,0.0571812699858645,0.05686447624633062,4474711.57091599,4450952.040450948,4997421.241146884,4443032.1969626015,47519.0609300813,47519.0609300813,1532505554.6820986,1352344955.009184,180160599.67291492,179851725.7768694,179851725.7768694,278034025.5019057,290080107.4476813,-96226098.38341464,-96226098.38341464,112224182.22987534,100178100.28409973,0.002296754611620596,-234268.9703853008,126.26512145996094,2022-01-05,0,0,0,0,0,1,0,0,0,0,0,0.5274316545519342,1
127.86548767089843,126.85452346801758,122.97472496032715,122.11922332763672,127.86548767089843,126.85452346801758,122.97472496032715,122.11922332763672,18.50600683870113,54.24517177341721,39.76234375191994,-1.6605115633744134,-1.871411112473314,0.21089954909890052,42.955233731508585,-111.26421691111871,-85.87690159592968,58.29452545730316,-7.435844766191357,2.620047862842983,2.1865181572040546,1.9265509041323554,130.68892172380362,127.86548767089843,125.04205361799323,-9.699501037597656,-2.125624442732103,-2.6096299489339145,78.57142857142857,0.0,-78.57142857142857,0.24752422894178056,0.0058161350617547125,1.0153741097636388,1.0037690335157348,0.17838930895023739,0.020971359469152774,0.622911904343239,0.44262652705061084,1.0,0.0473793552521421,8.520938834823198,7.182300884955752,21031579.45072707,24590648.680127535,-6189000.916612309,488395637.21856886,658419933.392118,1165169974.0923958,506797284.9820841,4779546.509393984,31952882.594927166,44866319.621955395,72189262.59987488,72189262.59987488,32523121.07632801,31952882.594927166,32039497.111571867,31952882.594927166,32039497.111571867,32039497.111571867,31952882.594927166,31952882.594927166,0.056850619106795,0.056535657228087,4448836.536750578,4425214.395847478,4968523.636618788,4417340.348879778,47244.28180620084,47244.28180620084,1523643836.3439124,1344525015.9226696,179118820.42124277,178811732.58950245,178811732.58950245,276426292.8480811,288402718.285953,-95669670.6575567,-95669670.6575567,111575245.53231098,99598820.09443906,0.0022834736206330405,-232914.3093045701,126.99949645996094,2022-01-06,0,0,0,0,0,1,0,0,0,0,0,-1.6205018383309382,0
127.19405517578124,126.85452346801758,122.97472496032715,122.11922332763672,127.60543416341146,126.85452346801758,122.97472496032715,122.11922332763672,18.50600683870113,54.24517177341721,39.76234375191994,-1.6605115633744134,-1.871411112473314,0.21089954909890052,42.955233731508585,-111.26421691111871,-85.87690159592968,58.29452545730316,-7.435844766191357,2.620047862842983,2.1865181572040546,2.184063678079653,128.3527883498204,127.19405517578124,126.0353220017421,-9.699501037597656,-2.125624442732103,-2.6096299489339145,78.57142857142857,0.0,-78.57142857142857,0.004364397180143326,0.0006758348723345797,1.0174092189585302,1.0000750113060937,0.17838930895023739,0.020971359469152774,0.622911904343239,0.44262652705061084,1.0,0.0473793552521421,8.520938834823198,7.182300884955752,21017375.175658423,24574040.68647745,-6184820.998902105,488065785.3408422,657975250.7725129,1164383043.426893,506455005.0284175,4776318.506785722,31931302.30730883,44836017.87753714,72140507.52917875,72140507.52917875,32501155.6619405,31931302.30730883,32017858.326377437,31931302.30730883,32017858.326377437,32017858.326377437,31931302.30730883,31931302.30730883,0.056812223425029514,0.05649747426478004,4445831.888523778,4422225.701505068,4965168.002935405,4414356.97249883,47212.374037420646,47212.374037420646,1522614800.1648283,1343616952.7309542,178997847.43387416,178690967.00263092,178690967.00263092,276239600.49294823,288207937.3114343,-95605057.42577681,-95605057.42577681,111499890.0183751,99531553.19988896,0.0022819314118086645,-232757.00400448378,127.0853271484375,2022-01-07,0,0,0,0,0,1,0,0,0,0,0,-1.7546631728690107,0
126.72672729492187,126.85452346801758,122.97472496032715,122.11922332763672,126.87571953667535,126.85452346801758,122.97472496032715,122.11922332763672,18.50600683870113,54.24517177341721,39.76234375191994,-1.6605115633744134,-1.871411112473314,0.21089954909890052,42.955233731508585,-111.26421691111871,-85.87690159592968,58.29452545730316,-7.435844766191357,2.620047862842983,2.1865181572040546,2.6704626259758584,128.3843059538259,126.72672729492187,125.06914863601784,-9.699501037597656,-2.125624442732103,-2.6096299489339145,78.57142857142857,0.0,-78.57142857142857,-0.33333110251502795,-0.013133198793948253,1.0174779519558095,0.9942537839225704,0.17838930895023739,0.020971359469152774,0.622911904343239,0.44262652705061084,1.0,0.0473793552521421,8.520938834823198,7.182300884955752,21297073.880662568,24901071.40745384,-6267128.442606057,494560952.6476887,666731569.0105292,1179878623.9479313,513194895.6125365,4839881.634429868,32356243.282564096,45432694.48596605,73100551.6053592,73100551.6053592,32933680.231436275,32356243.282564096,32443951.18697716,32356243.282564096,32443951.18697716,32443951.18697716,32356243.282564096,32356243.282564096,0.057568279078391515,0.0572493412441622,4504996.908489087,4481076.570921889,5031244.334967459,4473103.125066156,47840.67513439738,47840.67513439738,1542877719.976027,1361497773.649815,181379946.32621196,181068981.93783838,181068981.93783838,279915790.2113591,292043401.3579288,-96877367.1471547,-96877367.1471547,112983727.77573515,100856116.62916543,0.00231229929816254,-235854.5284125791,125.41629028320312,2022-01-10,0,0,0,0,0,1,0,0,0,0,0,-1.5149741790097968,0
126.32234649658203,126.85452346801758,122.97472496032715,122.11922332763672,126.53231206823278,126.85452346801758,122.97472496032715,122.11922332763672,18.50600683870113,54.24517177341721,39.76234375191994,-1.6605115633744134,-1.871411112473314,0.21089954909890052,42.955233731508585,-111.26421691111871,-85.87690159592968,58.29452545730316,-7.435844766191357,2.620047862842983,2.1865181572040546,2.641853526230406,127.61610673148172,126.32234649658203,125.02858626168234,-9.699501037597656,-2.125624442732103,-2.6096299489339145,78.57142857142857,0.0,-78.57142857142857,0.15162365384086102,0.0034222575645901365,1.021424738311577,1.0031931739743272,0.17838930895023739,0.020971359469152774,0.622911904343239,0.44262652705061084,1.0,0.0473793552521421,8.520938834823198,7.182300884955752,21224438.385842443,24816144.170342922,-6245753.8641977385,492874210.15359914,664457623.8808533,1175854546.8301837,511444600.4597443,4823374.803521663,32245889.54314812,45277742.38956579,72851235.91216904,72851235.91216904,32821357.093841758,32245889.54314812,32333298.312239945,32245889.54314812,32333298.312239945,32333298.312239945,32245889.54314812,32245889.54314812,0.05737193753118024,0.057054087461755415,4489632.230625601,4465793.475418739,5014084.845176556,4457847.223683119,47677.51041372319,47677.51041372319,1537615603.3460443,1356854268.8641484,180761334.48189586,180451430.66420665,180451430.66420665,278961113.4306944,291047362.3205732,-96546958.58778946,-96546958.58778946,112598387.09374294,100512138.20386411,0.0023044130033299543,-235050.12633965534,125.84549713134766,2022-01-11,0,0,0,0,0,1,0,0,0,0,0,-1.2807959540755247,0
126.53025512695312,126.85452346801758,122.97472496032715,122.11922332763672,126.78976291609399,126.85452346801758,122.97472496032715,122.11922332763672,18.50600683870113,54.24517177341721,39.76234375191994,-1.6605115633744134,-1.871411112473314,0.21089954909890052,42.955233731508585,-111.26421691111871,-85.87690159592968,58.29452545730316,-7.435844766191357,2.620047862842983,2.1865181572040546,1.8597348145005839,128.03699030303434,126.53025512695312,125.02351995087189,-9.699501037597656,-2.125624442732103,-2.6096299489339145,78.57142857142857,0.0,-78.57142857142857,0.6613758749586232,0.011594912124235801,1.0143170931618406,1.0094532257459619,0.17838930895023739,0.020971359469152774,0.622911904343239,0.44262652705061084,1.0,0.0473793552521421,8.520938834823198,7.182300884955752,20981163.637204837,24531701.25009012,-6174164.963999627,487224880.47969574,656841603.2120671,1162376888.947594,505582416.76578623,4768089.227923376,31876286.798868302,44758768.40314233,72016214.2365758,72016214.2365758,32445158.33410094,31876286.798868302,31962693.687677458,31876286.798868302,31962693.687677458,31962693.687677458,31876286.798868302,31876286.798868302,0.05671433974564542,0.056400132877248495,4438172.016106602,4414606.500976833,4956613.348961532,4406751.3292669095,47131.03025953913,47131.03025953913,1519991436.213557,1341301990.1562243,178689446.0573327,178383094.3606457,178383094.3606457,275763658.0485635,287711374.21935666,-95440336.27556676,-95440336.27556676,111307783.1296116,99360066.95881842,0.0022779997958777246,-232355.97917952793,127.3046646118164,2022-01-12,0,0,0,0,0,1,0,0,0,0,0,-2.4048252923679914,0
125.84355926513672,126.85452346801758,122.97472496032715,122.11922332763672,125.71518099435563,126.85452346801758,122.97472496032715,122.11922332763672,18.50600683870113,48.52660390563895,46.13220506823913,-1.6605115633744134,-1.871411112473314,0.21089954909890052,42.955233731508585,-111.26421691111871,-85.87690159592968,58.29452545730316,-7.435844766191357,2.620047862842983,2.1865181572040546,4.654235708620405,128.5337751569282,125.84355926513672,123.15334337334525,-9.699501037597656,-2.125624442732103,-2.6096299489339145,78.57142857142857,0.0,-78.57142857142857,-0.885246516747132,-0.02936771776853242,1.0377621685688299,0.9677322440494373,0.17838930895023739,0.020971359469152774,0.622911904343239,0.44262652705061084,1.0,0.0473793552521421,8.520938834823198,7.182300884955752,21615975.505131036,25273939.162307836,-6360972.200311867,501966490.708071,676715183.7377582,1197546084.368128,520879457.67006695,4912353.849350258,32840744.515096124,46113002.03228628,74195156.65707277,74195156.65707277,33426827.984239362,32840744.515096124,32929765.754540693,32840744.515096124,32929765.754540693,32929765.754540693,32840744.515096124,32840744.515096124,0.0584303044354347,0.05810659083745445,4572454.571470998,4548176.051622479,5106582.008138407,4540083.211672973,48557.039697037144,48557.039697037144,1565980715.909347,1381884792.7379801,184095923.17136684,183780302.4133361,183780302.4133361,284107239.2673643,296416448.83056325,-98328005.38650022,-98328005.38650022,114675542.08450273,102366332.52130382,0.0023469235853567955,-239386.20570639314,123.5660171508789,2022-01-13,0,0,0,0,0,1,0,0,0,0,0,-0.8375995497666251,0
