SMA_5,SMA_10,SMA_20,SMA_50,EMA_5,EMA_10,EMA_20,EMA_50,RSI,STOCH_K,STOCH_D,MACD,MACD_Signal,MACD_Hist,ADX,CCI,WILLR,ULTOSC,ROC,ATR,NATR,TRANGE,BB_Upper,BB_Middle,BB_Lower,MOM,PPO,APO,AROON_Up,AROON_Down,AROONOSC,BOP,Price_Change,High_Low_Ratio,Close_Open_Ratio,ROE,ROA,Debt_to_Equity,Profit_Margin,Operating_Margin,Asset_Turnover,Financial_Leverage,EPS_Calc,Free_Cash_Flow,Operating_Cash_Flow,Investing_Cash_Flow,Financing_Cash_Flow,Beginning_Cash_Position,End_Cash_Position,Changes_In_Cash,Cash_And_Cash_Equivalents,Net_Income,Pretax_Income,Total_Revenue,Operating_Revenue,Normalized_Income,Net_Income_Common_Stockholders,Net_Income_From_Continuing_Operations,Net_Income_From_Continuing_And_Discontinued_Operation,Net_Income_Including_Noncontrolling_Interests,Net_Income_Continuous_Operations,Diluted_NI_Availto_Com_Stockholders,Net_Income_From_Continuing_Operation_Net_Minority_Interest,Basic_EPS,Diluted_EPS,Diluted_Average_Shares,Basic_Average_Shares,Share_Issued,Ordinary_Shares_Number,Capital_Stock,Common_Stock,Total_Assets,Total_Liabilities_Net_Minority_Interest,Total_Equity_Gross_Minority_Interest,Common_Stock_Equity,Stockholders_Equity,Total_Capitalization,Invested_Capital,Net_Tangible_Assets,Tangible_Book_Value,Total_Debt,Long_Term_Debt_And_Capital_Lease_Obligation,Tax_Rate_For_Calcs,Tax_Effect_Of_Unusual_Items,Close,Date,Sector_basic-materials,Sector_communication-services,Sector_consumer-cyclical,Sector_consumer-defensive,Sector_energy,Sector_financial-services,Sector_healthcare,Sector_industrials,Sector_real-estate,Sector_technology,Sector_utilities,Target_3M_Return,Target_Direction
328.6556091308594,320.2392852783203,303.70250091552737,275.93657470703124,328.6556091308594,320.2392852783203,303.70250091552737,275.93657470703124,3.0253247712723685,25.241697285235247,18.123351943243723,-14.241321548391511,-15.5097596207735,1.2684380723819881,69.47561247453477,-125.90091806801685,-98.38994366898669,42.09530753859991,-12.409162205463975,8.629781897084248,3.0430025983900326,16.269101548171818,341.49829904046095,328.6556091308594,315.8129192212578,-42.318939208984375,-5.90909334336871,-17.596150520520325,100.0,0.0,-100.0,0.6426791867025162,-0.0007916866287221991,1.0115393393997987,1.007409091980504,0.764976202199245,0.09021275772135852,4.716642048252092,0.09347893665453305,1.0,0.965059733774623,8.479689807976367,6.980157244477724,5491015.980149736,6581829.792290985,-1396945.4303873407,-5377829.385664112,664458.0909441046,485881.31363388407,-192945.02376046815,485881.31363388407,5466971.159559526,6593558.973066697,58483454.724818125,58483454.724818125,5676061.046476771,5466971.159559526,5466971.159559526,5466971.159559526,5466971.159559526,5466971.159559526,5466971.159559526,5466971.159559526,0.020819295876889417,0.02046742045361805,783216.0462981921,769727.4884061229,798925.638929655,765750.7243255936,266252.40360867034,266252.40360867034,60600865.084353596,53454275.23771206,7146589.846641534,7146589.846641534,7146589.846641534,32337644.62815834,35340608.13626009,-25507742.66246104,-25507742.66246104,33707906.17228093,29503581.323226843,0.0005010178214249408,-43087.499760569524,341.02978515625,2021-12-31,1,0,0,0,0,0,0,0,0,0,0,-26.18345064423154,0
328.6556091308594,320.2392852783203,303.70250091552737,275.93657470703124,328.6556091308594,320.2392852783203,303.70250091552737,275.93657470703124,3.0253247712723685,25.241697285235247,18.123351943243723,-14.241321548391511,-15.5097596207735,1.2684380723819881,69.47561247453477,-125.90091806801685,-98.38994366898669,42.09530753859991,-12.409162205463975,8.629781897084248,3.0430025983900326,16.269101548171818,341.49829904046095,328.6556091308594,315.8129192212578,-42.318939208984375,-5.90909334336871,-17.596150520520325,100.0,0.0,-100.0,-0.6227543329597316,-0.03702881753191811,1.044817598859085,0.9731404511763866,0.764976202199245,0.09021275772135852,4.716642048252092,0.09347893665453305,1.0,0.965059733774623,8.479689807976367,6.980157244477724,5702160.230876626,6834918.751589061,-1450661.718460763,-5584621.309103777,690008.2817027895,504564.74968293123,-200364.27597547902,504564.74968293123,5677190.822624363,6847098.950736507,60732299.97903555,60732299.97903555,5894320.774926105,5677190.822624363,5677190.822624363,5677190.822624363,5677190.822624363,5677190.822624363,5677190.822624363,5677190.822624363,0.021619853486715822,0.021254447512292458,813332.7980706755,799325.5690511131,829646.4665557484,795195.8877554206,276490.5206470136,276490.5206470136,62931130.43012815,55509735.08958959,7421395.340538563,7421395.340538563,7421395.340538563,33581113.55448602,36699549.04121076,-26488583.590928487,-26488583.590928487,35004065.31988635,30638072.935484495,0.0005202832966827097,-44744.32936833775,328.40185546875,2022-01-03,1,0,0,0,0,0,0,0,0,0,0,-25.218900124448567,0
328.6556091308594,320.2392852783203,303.70250091552737,275.93657470703124,328.6556091308594,320.2392852783203,303.70250091552737,275.93657470703124,3.0253247712723685,25.241697285235247,18.123351943243723,-14.241321548391511,-15.5097596207735,1.2684380723819881,69.47561247453477,-125.90091806801685,-98.38994366898669,42.09530753859991,-12.409162205463975,8.629781897084248,3.0430025983900326,6.5075872431163475,341.49829904046095,328.6556091308594,315.8129192212578,-42.318939208984375,-5.90909334336871,-17.596150520520325,100.0,0.0,-100.0,0.26515042048377196,-0.010025859877157206,1.0158844731535739,1.0041875863418688,0.764976202199245,0.09021275772135852,4.716642048252092,0.09347893665453305,1.0,0.965059733774623,8.479689807976367,6.980157244477724,5759908.2640371425,6904138.678552692,-1465353.143750558,-5641178.979090099,696996.2686269446,509674.67657318944,-202393.4442879654,509674.67657318944,5734685.9807064235,6916442.231396945,61347360.01437317,61347360.01437317,5954014.893959449,5734685.9807064235,5734685.9807064235,5734685.9807064235,5734685.9807064235,5734685.9807064235,5734685.9807064235,5734685.9807064235,0.021838806298549455,0.021469699713221862,821569.7411750085,807420.6554041172,838048.6246365992,803249.1511917142,279290.649564548,279290.649564548,63568458.89158198,56071904.1435785,7496554.748003484,7496554.748003484,7496554.748003484,33921202.78042722,37071219.89737715,-26756843.959218573,-26756843.959218573,35358565.341457106,30948356.824434537,0.0005255524115186982,-45197.472898418906,325.1093444824219,2022-01-04,1,0,0,0,0,0,0,0,0,0,0,-25.473682372676787,0
328.6556091308594,320.2392852783203,303.70250091552737,275.93657470703124,328.6556091308594,320.2392852783203,303.70250091552737,275.93657470703124,3.0253247712723685,25.241697285235247,18.123351943243723,-14.241321548391511,-15.5097596207735,1.2684380723819881,69.47561247453477,-125.90091806801685,-98.38994366898669,42.09530753859991,-12.409162205463975,8.629781897084248,3.0430025983900326,8.308838678274412,341.49829904046095,328.6556091308594,315.8129192212578,-42.318939208984375,-5.90909334336871,-17.596150520520325,100.0,0.0,-100.0,-0.020978125555754058,0.0018764344891100126,1.0256894438178306,0.999465151170968,0.764976202199245,0.09021275772135852,4.716642048252092,0.09347893665453305,1.0,0.965059733774623,8.479689807976367,6.980157244477724,5749120.416206127,6891207.7786052935,-1462608.6544273198,-5630613.501720622,695690.8503216428,508720.0966385535,-202014.3775426483,508720.0966385535,5723945.372196253,6903488.287878403,61232461.31211403,61232461.31211403,5942863.499924119,5723945.372196253,5723945.372196253,5723945.372196253,5723945.372196253,5723945.372196253,5723945.372196253,5723945.372196253,0.02179790395976904,0.02142948868157576,820031.0067118747,805908.421047799,836479.026541779,801744.7297293879,278767.5604995815,278767.5604995815,63449400.24864209,55966885.94853658,7482514.3001055075,7482514.3001055075,7482514.3001055075,33857671.07869422,37001788.46534203,-26706730.52896266,-26706730.52896266,35292341.574525215,30890393.02557918,0.0005245680938555012,-45112.821643985066,325.7193908691406,2022-01-05,1,0,0,0,0,0,0,0,0,0,0,-23.947438123602044,0
328.6556091308594,320.2392852783203,303.70250091552737,275.93657470703124,328.6556091308594,320.2392852783203,303.70250091552737,275.93657470703124,3.0253247712723685,25.241697285235247,18.123351943243723,-14.241321548391511,-15.5097596207735,1.2684380723819881,69.47561247453477,-125.90091806801685,-98.38994366898669,42.09530753859991,-12.409162205463975,8.629781897084248,3.0430025983900326,4.473977897827126,341.49829904046095,328.6556091308594,315.8129192212578,-42.318939208984375,-5.90909334336871,-17.596150520520325,100.0,0.0,-100.0,-0.49783338177397685,-0.008294628036105145,1.0138801112587352,0.9931519445802357,0.764976202199245,0.09021275772135852,4.716642048252092,0.09347893665453305,1.0,0.965059733774623,8.479689807976367,6.980157244477724,5797206.084324243,6948845.870380323,-1474841.919562143,-5677707.977491541,701509.6116137314,512975.0337351954,-203704.02667336064,512975.0337351954,5771820.476136984,6961229.093886303,61744609.884339035,61744609.884339035,5992569.636035491,5771820.476136984,5771820.476136984,5771820.476136984,5771820.476136984,5771820.476136984,5771820.476136984,5771820.476136984,0.021980221723113383,0.021608725017934004,826889.7496117725,812649.0425798962,843475.3407509351,808450.5261292233,281099.1735857317,281099.1735857317,63980091.30775596,56434993.22556274,7545098.08219323,7545098.08219323,7545098.08219323,34140856.78657278,37311271.584691145,-26930105.739040986,-26930105.739040986,35587526.87265881,31148760.40694051,0.0005289555836696619,-45490.14548005039,323.0176696777344,2022-01-06,1,0,0,0,0,0,0,0,0,0,0,-22.160454537767592,0
323.0505432128906,320.2392852783203,303.70250091552737,275.93657470703124,323.4385579427083,320.2392852783203,303.70250091552737,275.93657470703124,3.0253247712723685,25.241697285235247,18.123351943243723,-14.241321548391511,-15.5097596207735,1.2684380723819881,69.47561247453477,-125.90091806801685,-98.38994366898669,42.09530753859991,-12.409162205463975,8.629781897084248,3.0430025983900326,10.526461988124595,333.6683739144839,323.0505432128906,312.4327125112973,-42.318939208984375,-5.90909334336871,-17.596150520520325,100.0,0.0,-100.0,-0.9323172434659185,-0.030998967088450735,1.0325079492857228,0.9706306342964057,0.764976202199245,0.09021275772135852,4.716642048252092,0.09347893665453305,1.0,0.965059733774623,8.479689807976367,6.980157244477724,5982662.440416008,7171143.924894677,-1522023.0623807467,-5859341.512187845,723951.3558679202,529385.4354250414,-210220.64967391506,529385.4354250414,5956464.730274274,7183923.295695523,63719859.71863779,63719859.71863779,6184275.79796243,5956464.730274274,5956464.730274274,5956464.730274274,5956464.730274274,5956464.730274274,5956464.730274274,5956464.730274274,0.02268338317150147,0.0223000020474761,853342.485226485,838646.2088055122,870458.6601074632,834313.3791096989,290091.71717920195,290091.71717920195,66026855.63246049,58240385.00350508,7786470.628955407,7786470.628955407,7786470.628955407,35233044.78220217,38504883.19148874,-27791617.1648696,-27791617.1648696,36725994.77601099,32145229.31244778,0.0005458772134435331,-46945.40453003082,313.00445556640625,2022-01-07,1,0,0,0,0,0,0,0,0,0,0,-20.002120600241994,0
319.9865478515625,320.2392852783203,303.70250091552737,275.93657470703124,319.986331515842,320.2392852783203,303.70250091552737,275.93657470703124,3.0253247712723685,25.241697285235247,18.123351943243723,-14.241321548391511,-15.5097596207735,1.2684380723819881,69.47561247453477,-125.90091806801685,-98.38994366898669,42.09530753859991,-12.409162205463975,8.629781897084248,3.0430025983900326,6.188024472155632,331.4659312219266,319.9865478515625,308.50716448119834,-42.318939208984375,-5.90909334336871,-17.596150520520325,100.0,0.0,-100.0,0.156494911336426,0.00024735461213487575,1.0201532279409995,1.003102699465947,0.764976202199245,0.09021275772135852,4.716642048252092,0.09347893665453305,1.0,0.965059733774623,8.479689807976367,6.980157244477724,5981182.967223043,7169370.548023519,-1521646.6760573841,-5857892.535451811,723772.3274445912,529254.5218780616,-210168.66348567564,529254.5218780616,5954991.735603248,7182146.758569761,63704102.21514296,63704102.21514296,6182746.4671081295,5954991.735603248,5954991.735603248,5954991.735603248,5954991.735603248,5954991.735603248,5954991.735603248,5954991.735603248,0.02267777371957898,0.022294487403191735,853131.4592252882,838438.8170971103,870243.4013884498,834107.0588816702,290019.97939968616,290019.97939968616,66010527.62400324,58225982.538178176,7784545.085825056,7784545.085825056,7784545.085825056,35224331.88125197,38495361.1863535,-27784744.48017544,-27784744.48017544,36716912.67831665,32137280.00801632,0.0005457422215879866,-46933.79523931338,313.0818786621094,2022-01-10,1,0,0,0,0,0,0,0,0,0,0,-18.577186404962546,0
317.81346435546874,320.2392852783203,303.70250091552737,275.93657470703124,318.07219667787905,320.2392852783203,303.70250091552737,275.93657470703124,3.0253247712723685,25.241697285235247,18.123351943243723,-14.241321548391511,-15.5097596207735,1.2684380723819881,69.47561247453477,-125.90091806801685,-98.38994366898669,42.09530753859991,-12.409162205463975,8.629781897084248,3.0430025983900326,6.391407815733771,328.68888591790926,317.81346435546874,306.9380427930282,-42.318939208984375,-5.90909334336871,-17.596150520520325,100.0,0.0,-100.0,0.16363417780634143,0.0037116435636885825,1.0207501680496018,1.003339269455899,0.764976202199245,0.09021275772135852,4.716642048252092,0.09347893665453305,1.0,0.965059733774623,8.479689807976367,6.980157244477724,5959065.0418149885,7142858.802124278,-1516019.7511057677,-5836230.527976444,721095.8765754973,527297.3819442185,-209391.47695793348,527297.3819442185,5932970.663227526,7155587.767288894,63468529.65555015,63468529.65555015,6159883.176363506,5932970.663227526,5932970.663227526,5932970.663227526,5932970.663227526,5932970.663227526,5932970.663227526,5932970.663227526,0.02259391316719343,0.02221204421225495,849976.6488672346,835338.3389279261,867025.3124678733,831022.5992000696,288947.5092367836,288947.5092367836,65766426.09189246,58010667.617091924,7755758.474800539,7755758.474800539,7755758.474800539,35094075.18297548,38353008.489246294,-27681998.76761957,-27681998.76761957,36581136.53833174,32018438.97507513,0.0005437241114891556,-46760.23790326319,314.2439270019531,2022-01-11,1,0,0,0,0,0,0,0,0,0,0,-18.507615460401887,0
314.95476684570315,320.2392852783203,303.70250091552737,275.93657470703124,315.8567655586902,320.2392852783203,303.70250091552737,275.93657470703124,3.0253247712723685,25.241697285235247,18.123351943243723,-14.241321548391511,-15.5097596207735,1.2684380723819881,69.47561247453477,-125.90091806801685,-98.38994366898669,42.09530753859991,-12.409162205463975,8.629781897084248,3.0430025983900326,6.497946695885503,323.2145487981455,314.95476684570315,306.6949848932608,-42.318939208984375,-5.90909334336871,-17.596150520520325,100.0,0.0,-100.0,-0.5603572955419922,-0.008967631319166669,1.0210147893178343,0.9884431852002833,0.764976202199245,0.09021275772135852,4.716642048252092,0.09347893665453305,1.0,0.965059733774623,8.479689807976367,6.980157244477724,6012987.295003412,7207492.941559681,-1529737.8763962542,-5889041.278989778,727620.9126603509,532068.7785870263,-211286.2138263508,532068.7785870263,5986656.794192226,7220337.088296846,64042842.25351119,64042842.25351119,6215622.588153148,5986656.794192226,5986656.794192226,5986656.794192226,5986656.794192226,5986656.794192226,5986656.794192226,5986656.794192226,0.022798360458466425,0.0224130360563515,857667.8983741383,842897.1296263995,874870.8315369898,838542.3377303474,291562.13093362696,291562.13093362696,66361531.84323775,58535593.236283615,7825938.606954137,7825938.606954137,7825938.606954137,35411633.65803008,38700056.32641254,-27932487.012979377,-27932487.012979377,36912151.10059929,32308166.702662785,0.0005486441499513367,-47183.360888106916,311.4259033203125,2022-01-12,1,0,0,0,0,0,0,0,0,0,0,-17.792022267159663,0
311.8229614257813,320.2392852783203,303.70250091552737,275.93657470703124,313.0240578985018,320.2392852783203,303.70250091552737,275.93657470703124,3.0253247712723685,18.60939536745197,20.781680299744266,-14.241321548391511,-15.5097596207735,1.2684380723819881,69.47561247453477,-125.90091806801685,-98.38994366898669,42.09530753859991,-12.409162205463975,8.629781897084248,3.0430025983900326,7.611564059493617,316.63375539316775,311.8229614257813,307.0121674583948,-42.318939208984375,-5.90909334336871,-17.596150520520325,100.0,0.0,-100.0,-0.6170463899113214,-0.013060123447740879,1.0248230955910276,0.9849491815636849,0.764976202199245,0.09021275772135852,4.716642048252092,0.09347893665453305,1.0,0.965059733774623,8.479689807976367,6.980157244477724,6092556.839438862,7302869.316353983,-1549980.8172106557,-5966970.6523180995,737249.481905824,539109.6167334291,-214082.1531747715,539109.6167334291,6065877.908496109,7315883.429008985,64890317.814734764,64890317.814734764,6297873.594758968,6065877.908496109,6065877.908496109,6065877.908496109,6065877.908496109,6065877.908496109,6065877.908496109,6065877.908496109,0.02310004996262732,0.02270962658297728,869017.3725377122,854051.1429844608,886447.9512097866,849638.7243564234,295420.35726852965,295420.35726852965,67239690.50177887,59310191.66108658,7929498.840692296,7929498.840692296,7929498.840692296,35880233.942654975,39212172.135151684,-28302116.143647715,-28302116.143647715,37400607.6535755,32735698.972390287,0.0005559043291147083,-47807.73581966878,307.358642578125,2022-01-13,1,0,0,0,0,0,0,0,0,0,0,-17.544204811822002,0
