SMA_5,SMA_10,SMA_20,SMA_50,EMA_5,EMA_10,EMA_20,EMA_50,RSI,STOCH_K,STOCH_D,MACD,MACD_Signal,MACD_Hist,ADX,CCI,WILLR,ULTOSC,ROC,ATR,NATR,TRANGE,BB_Upper,BB_Middle,BB_Lower,MOM,PPO,APO,AROON_Up,AROON_Down,AROONOSC,BOP,Price_Change,High_Low_Ratio,Close_Open_Ratio,ROE,ROA,Debt_to_Equity,Profit_Margin,Operating_Margin,Asset_Turnover,Financial_Leverage,EPS_Calc,Free_Cash_Flow,Operating_Cash_Flow,Investing_Cash_Flow,Financing_Cash_Flow,Beginning_Cash_Position,End_Cash_Position,Changes_In_Cash,Cash_And_Cash_Equivalents,Net_Income,Pretax_Income,Total_Revenue,Operating_Revenue,Normalized_Income,Net_Income_Common_Stockholders,Net_Income_From_Continuing_Operations,Net_Income_From_Continuing_And_Discontinued_Operation,Net_Income_Including_Noncontrolling_Interests,Net_Income_Continuous_Operations,Diluted_NI_Availto_Com_Stockholders,Net_Income_From_Continuing_Operation_Net_Minority_Interest,Basic_EPS,Diluted_EPS,Diluted_Average_Shares,Basic_Average_Shares,Share_Issued,Ordinary_Shares_Number,Capital_Stock,Common_Stock,Total_Assets,Total_Liabilities_Net_Minority_Interest,Total_Equity_Gross_Minority_Interest,Common_Stock_Equity,Stockholders_Equity,Total_Capitalization,Invested_Capital,Net_Tangible_Assets,Tangible_Book_Value,Total_Debt,Long_Term_Debt_And_Capital_Lease_Obligation,Tax_Rate_For_Calcs,Tax_Effect_Of_Unusual_Items,Close,Date,Sector_basic-materials,Sector_communication-services,Sector_consumer-cyclical,Sector_consumer-defensive,Sector_energy,Sector_financial-services,Sector_healthcare,Sector_industrials,Sector_real-estate,Sector_technology,Sector_utilities,Target_3M_Return,Target_Direction
147.50164794921875,149.70862884521483,141.97540664672852,135.72219039916993,147.50164794921875,149.70862884521483,141.97540664672852,135.72219039916993,34.77971810640863,71.47764373408013,74.06598766766551,-2.089053500054092,-3.6319572141756,1.5429037141215076,17.927007320437706,-144.497388667181,-98.6636827682618,54.696410768101686,0.3071940803651474,3.9537168853152815,3.0088545566342164,3.8624556676582813,153.66766485492786,147.50164794921875,141.33563104350964,0.437957763671875,-4.493749957812056,-6.322883410331542,100.0,64.28571428571429,-35.714285714285715,-0.07518184529957064,-0.5417616172197929,1.0084197677623221,0.9993689438519886,0.16433037429409744,0.012911215426356735,1.2055982619752692,0.3972059004807495,1.0,0.0325050947398564,14.437816490479735,15.969735016189784,547699905.3544264,547699905.3544264,-907249840.6608644,1935881102.1269941,3700776079.147374,5196387373.640453,1576331166.8205562,5196387373.640453,339026269.4713494,417782154.63757426,853527777.5607471,853527777.5607471,341449591.1441797,326183196.28473043,339026269.4713494,339026269.4713494,339026269.4713494,339026269.4713494,326183196.28473043,339026269.4713494,0.10794915147027077,0.10773872427442228,21229298.36516709,21193525.741872847,28792990.95560777,20650968.291401766,273155542.9309132,28793454.63193382,26258276876.030354,24195199548.252815,2063077327.7775393,1818715239.47856,2063077327.7775393,4174398597.3232737,4305957680.167744,1665433055.7826648,1421070967.4836853,2487242440.689184,2111321269.5457344,0.0013256913338454304,-564744.5082181534,142.56712341308594,2021-12-31,0,0,0,0,0,1,0,0,0,0,0,-10.308656093861703,0
147.50164794921875,149.70862884521483,141.97540664672852,135.72219039916993,147.50164794921875,149.70862884521483,141.97540664672852,135.72219039916993,34.77971810640863,71.47764373408013,74.06598766766551,-2.089053500054092,-3.6319572141756,1.5429037141215076,17.927007320437706,-144.497388667181,-98.6636827682618,54.696410768101686,0.3071940803651474,3.9537168853152815,3.0088545566342164,3.8624556676582813,153.66766485492786,147.50164794921875,141.33563104350964,0.437957763671875,-4.493749957812056,-6.322883410331542,100.0,64.28571428571429,-35.714285714285715,0.587857337857334,0.021155956062106185,1.0196226254818057,1.0115100483602242,0.16433037429409744,0.012911215426356735,1.2055982619752692,0.3972059004807495,1.0,0.0325050947398564,14.437816490479735,15.969735016189784,536352848.0669368,536352848.0669368,-888453752.1178458,1895774186.7288828,3624104679.7775273,5088730416.536307,1543673282.6779737,5088730416.536307,332002440.42911893,409126688.3940742,835844684.1481636,835844684.1481636,334375556.56132597,319425445.5926536,332002440.42911893,332002440.42911893,332002440.42911893,332002440.42911893,319425445.5926536,332002440.42911893,0.10571269827045435,0.10550663063250024,20789477.10106284,20754445.602610644,28196467.723346062,20223128.669824634,267496400.82821986,28196921.793386295,25714266973.76413,23693931768.813255,2020335204.9508722,1781035725.9160388,2020335204.9508722,4087914850.363355,4216748337.6122594,1630929189.5090055,1391629710.474172,2435712611.696221,2067579645.4124827,0.0012982261191108427,-553044.326741219,145.58326721191406,2022-01-03,0,0,0,0,0,1,0,0,0,0,0,-12.565007973528827,0
147.50164794921875,149.70862884521483,141.97540664672852,135.72219039916993,147.50164794921875,149.70862884521483,141.97540664672852,135.72219039916993,34.77971810640863,71.47764373408013,74.06598766766551,-2.089053500054092,-3.6319572141756,1.5429037141215076,17.927007320437706,-144.497388667181,-98.6636827682618,54.696410768101686,0.3071940803651474,3.9537168853152815,3.0088545566342164,6.1942594779901015,153.66766485492786,147.50164794921875,141.33563104350964,0.437957763671875,-4.493749957812056,-6.322883410331542,100.0,64.28571428571429,-35.714285714285715,0.8091952490862235,0.03790966198840895,1.0264872813534769,1.0214229464108273,0.16433037429409744,0.012911215426356735,1.2055982619752692,0.3972059004807495,1.0,0.0325050947398564,14.437816490479735,15.969735016189784,516762554.3049686,516762554.3049686,-856002968.9055614,1826531013.3995595,3491734215.8994184,4902864481.276153,1487290598.7989666,4902864481.276153,319876047.5869109,394183331.53414965,805315447.7306504,805315447.7306504,322162485.62590235,307758427.6272214,319876047.5869109,319876047.5869109,319876047.5869109,319876047.5869109,307758427.6272214,319876047.5869109,0.101851540786249,0.10165299977107112,20030141.21791171,19996389.24533147,27166591.425045386,19484478.66944559,257726091.8023973,27167028.91017233,24775053085.546185,22828510646.50544,1946542439.0407445,1715983376.1485195,1946542439.0407445,3938603714.827936,4062731557.517143,1571359482.6591175,1340800419.7668924,2346748181.3686233,1992061275.7871916,0.0012508083956206018,-532844.3765343763,151.10227966308594,2022-01-04,0,0,0,0,0,1,0,0,0,0,0,-18.28807452235711,0
147.50164794921875,149.70862884521483,141.97540664672852,135.72219039916993,147.50164794921875,149.70862884521483,141.97540664672852,135.72219039916993,34.77971810640863,71.47764373408013,74.06598766766551,-2.089053500054092,-3.6319572141756,1.5429037141215076,17.927007320437706,-144.497388667181,-98.6636827682618,54.696410768101686,0.3071940803651474,3.9537168853152815,3.0088545566342164,4.193516086827742,153.66766485492786,147.50164794921875,141.33563104350964,0.437957763671875,-4.493749957812056,-6.322883410331542,100.0,64.28571428571429,-35.714285714285715,-0.8725711197236914,-0.018282096317961294,1.0282782935542076,0.9759265381444251,0.16433037429409744,0.012911215426356735,1.2055982619752692,0.3972059004807495,1.0,0.0325050947398564,14.437816490479735,15.969735016189784,526385993.74300396,526385993.74300396,-871943931.851533,1860545688.8877733,3556759230.735523,4994168348.043192,1514987750.7792444,4994168348.043192,325832957.0920336,401524032.57159984,820312479.4915404,820312479.4915404,328161974.4507024,313489676.0800025,325832957.0920336,325832957.0920336,325832957.0920336,325832957.0920336,313489676.0800025,325832957.0920336,0.10374827677507341,0.1035460384187867,20403153.637910146,20368773.117341407,27672502.786344387,19847329.45825573,262525610.2957559,27672948.418562464,25236427890.97019,23253635856.985653,1982792033.9845362,1747939372.107343,1982792033.9845362,4011950581.7870684,4138390002.137509,1600622212.109573,1365769550.2323794,2390450630.0301657,2029158547.802532,0.0012741016446061646,-542767.300602226,148.33981323242188,2022-01-05,0,0,0,0,0,1,0,0,0,0,0,-17.383078378678064,0
147.50164794921875,149.70862884521483,141.97540664672852,135.72219039916993,147.50164794921875,149.70862884521483,141.97540664672852,135.72219039916993,34.77971810640863,71.47764373408013,74.06598766766551,-2.089053500054092,-3.6319572141756,1.5429037141215076,17.927007320437706,-144.497388667181,-98.6636827682618,54.696410768101686,0.3071940803651474,3.9537168853152815,3.0088545566342164,3.2515276315082247,153.66766485492786,147.50164794921875,141.33563104350964,0.437957763671875,-4.493749957812056,-6.322883410331542,100.0,64.28571428571429,-35.714285714285715,-0.3971426827566943,0.01062387068463444,1.0213583944851958,0.9916721624878618,0.16433037429409744,0.012911215426356735,1.2055982619752692,0.3972059004807495,1.0,0.0325050947398564,14.437816490479735,15.969735016189784,520852523.8835002,520852523.8835002,-862777891.1068523,1840987278.1130435,3519369900.02625,4941668698.820617,1499061910.8896914,4941668698.820617,322407738.9655384,397303135.43810564,811689198.4115021,811689198.4115021,324712273.249981,310194212.87529343,322407738.9655384,322407738.9655384,322407738.9655384,322407738.9655384,310194212.87529343,322407738.9655384,0.10265765512226666,0.10245754273411407,20188671.7994186,20154652.693432663,27381604.16456223,19638690.5494429,259765891.06084666,27382045.112209525,24971137752.63797,23009189206.29964,1961948546.3383315,1729564700.3896945,1961948546.3383315,3969776192.867108,4094886457.9400926,1583796166.4464264,1351412320.4977894,2365321757.5503983,2007827646.5287766,0.0012607080453611694,-537061.6273238581,149.91575622558594,2022-01-06,0,0,0,0,0,1,0,0,0,0,0,-17.889085453367926,0
149.2684539794922,149.70862884521483,141.97540664672852,135.72219039916993,148.80148315429688,149.70862884521483,141.97540664672852,135.72219039916993,34.77971810640863,71.47764373408013,74.06598766766551,-2.089053500054092,-3.6319572141756,1.5429037141215076,17.927007320437706,-144.497388667181,-98.6636827682618,54.696410768101686,0.3071940803651474,3.9537168853152815,3.0088545566342164,2.237144208706553,153.5367838172017,149.2684539794922,145.0001241417827,0.437957763671875,-4.493749957812056,-6.322883410331542,100.0,64.28571428571429,-35.714285714285715,0.6032407922211169,0.009908213627872753,1.0149642630391187,1.0089938160779395,0.16433037429409744,0.012911215426356735,1.2055982619752692,0.3972059004807495,1.0,0.0325050947398564,14.437816490479735,15.969735016189784,515742437.63445824,515742437.63445824,-854313173.6769551,1822925344.3733292,3484841347.4960155,4893185966.939274,1484354608.3308322,4893185966.939274,319244595.3156076,393405192.74606323,803725712.3552719,803725712.3552719,321526519.8047293,307150896.17994994,319244595.3156076,319244595.3156076,319244595.3156076,319244595.3156076,307150896.17994994,319244595.3156076,0.10165048044662559,0.10145233136193431,19990600.65755406,19956915.313156545,27112963.133748416,19446015.27587862,257217326.8377479,27113399.755256534,24726145817.68244,22783445956.582726,1942699861.099717,1712595934.0172255,1942699861.099717,3930828702.349654,4054711510.0986414,1568257535.758609,1338153608.6761177,2342115576.0814157,1988128841.2499373,0.0012483392335550512,-531792.5134944518,151.40115356445312,2022-01-07,0,0,0,0,0,1,0,0,0,0,0,-19.64084470561344,0
150.4610168457031,149.70862884521483,141.97540664672852,135.72219039916993,149.71634928385416,149.70862884521483,141.97540664672852,135.72219039916993,34.77971810640863,71.47764373408013,74.06598766766551,-2.089053500054092,-3.6319572141756,1.5429037141215076,17.927007320437706,-144.497388667181,-98.6636827682618,54.696410768101686,0.3071940803651474,3.9537168853152815,3.0088545566342164,3.4236431876890663,152.87253161630144,150.4610168457031,148.04950207510478,0.437957763671875,-4.493749957812056,-6.322883410331542,100.0,64.28571428571429,-35.714285714285715,-0.4629631124710408,0.000957244876300889,1.0228357325389508,0.9896492581523102,0.16433037429409744,0.012911215426356735,1.2055982619752692,0.3972059004807495,1.0,0.0325050947398564,14.437816490479735,15.969735016189784,515249217.96054745,515249217.96054745,-853496168.8423883,1821182027.208972,3481508691.139625,4888506469.168898,1482935076.327131,4888506469.168898,318939292.3121907,393028967.78041756,802957085.7990012,802957085.7990012,321219034.52975535,306857158.7369927,318939292.3121907,318939292.3121907,318939292.3121907,318939292.3121907,306857158.7369927,318939292.3121907,0.1015532691001079,0.1013553095112188,19971483.057724923,19937829.927613776,27087034.209037624,19427418.479079764,256971342.3369397,27087470.412991744,24702499476.626617,22761657476.587147,1940842000.0394695,1710958128.1155214,1940842000.0394695,3927069535.1582465,4050833870.1317115,1566757764.9157386,1336873892.9917908,2339875742.0161896,1986227535.118777,0.001247145410001325,-531283.9446605644,151.54608154296875,2022-01-10,0,0,0,0,0,1,0,0,0,0,0,-20.831544452906655,0
150.58057250976563,149.70862884521483,141.97540664672852,135.72219039916993,150.37758551703558,149.70862884521483,141.97540664672852,135.72219039916993,34.77971810640863,71.47764373408013,74.06598766766551,-2.089053500054092,-3.6319572141756,1.5429037141215076,17.927007320437706,-144.497388667181,-98.6636827682618,54.696410768101686,0.3071940803651474,3.9537168853152815,3.0088545566342164,2.001660610435863,153.16077273717445,150.58057250976563,148.0003722823568,0.437957763671875,-4.493749957812056,-6.322883410331542,100.0,64.28571428571429,-35.714285714285715,-0.3484102599509754,0.0010160370948688602,1.0132884778203943,0.9954238141043051,0.16433037429409744,0.012911215426356735,1.2055982619752692,0.3972059004807495,1.0,0.0325050947398564,14.437816490479735,15.969735016189784,514726237.0100429,514726237.0100429,-852629865.2710798,1819333516.8678958,3477974939.585981,4883544606.694049,1481429888.606859,4883544606.694049,318615567.07703775,392630041.0941061,802142079.6906803,802142079.6906803,320892995.3430033,306545696.9376316,318615567.07703775,318615567.07703775,318615567.07703775,318615567.07703775,306545696.9376316,318615567.07703775,0.10145019194181344,0.10125243328305747,19951211.88636079,19917592.914372277,27059540.711904213,19407699.536424685,256710514.93112677,27059976.473108783,24677426296.10388,22738554261.973293,1938872034.1305888,1709221495.672571,1938872034.1305888,3923083536.7586303,4046722250.2128634,1565167496.6794293,1335516958.2214112,2337500754.5402927,1984211502.6280413,0.0012458795501626213,-530744.6883692766,151.70005798339844,2022-01-11,0,0,0,0,0,1,0,0,0,0,0,-21.1525008260564,0
151.42470703125,149.70862884521483,141.97540664672852,135.72219039916993,151.10521895797163,149.70862884521483,141.97540664672852,135.72219039916993,34.77971810640863,71.47764373408013,74.06598766766551,-2.089053500054092,-3.6319572141756,1.5429037141215076,17.927007320437706,-144.497388667181,-98.6636827682618,54.696410768101686,0.3071940803651474,3.9537168853152815,3.0088545566342164,2.1828029223349574,153.13538659696832,151.42470703125,149.71402746553167,0.437957763671875,-4.493749957812056,-6.322883410331542,100.0,64.28571428571429,-35.714285714285715,-0.008300515379055198,0.005671901961563419,1.0144156224888896,0.9998812520974495,0.16433037429409744,0.012911215426356735,1.2055982619752692,0.3972059004807495,1.0,0.0325050947398564,14.437816490479735,15.969735016189784,511823225.8513629,511823225.8513629,-847821107.0708299,1809072634.2451105,3458359463.759691,4856001840.3305235,1473074753.0256433,4856001840.3305235,316818603.0211026,390415641.8492761,797618068.2050496,797618068.2050496,319083186.78994745,304816805.89833933,316818603.0211026,316818603.0211026,316818603.0211026,316818603.0211026,304816805.89833933,316818603.0211026,0.10087802169269601,0.10068137837555624,19838688.788506415,19805259.424592655,26906927.25840761,19298241.800899442,255262689.97912025,26907360.561956927,24538247760.497784,22610310795.818928,1927936964.6788564,1699581635.261693,1927936964.6788564,3900957687.200621,4023899089.076398,1556340088.279855,1327984758.8626916,2324317453.814705,1973020722.521765,0.0012388528979804772,-527751.3345396833,152.56048583984375,2022-01-12,0,0,0,0,0,1,0,0,0,0,0,-20.161771054081303,0
151.91560974121094,149.70862884521483,141.97540664672852,135.72219039916993,151.52690256377795,149.70862884521483,141.97540664672852,135.72219039916993,34.77971810640863,71.33857819324413,72.30464351254125,-2.089053500054092,-3.6319572141756,1.5429037141215076,17.927007320437706,-144.497388667181,-98.6636827682618,54.696410768101686,0.3071940803651474,3.9537168853152815,3.0088545566342164,1.7389921322013322,152.84092470884593,151.91560974121094,150.99029477357595,0.437957763671875,-4.493749957812056,-6.322883410331542,100.0,64.28571428571429,-35.714285714285715,-0.05729203919606198,-0.0012468239295777561,1.0114360484598566,0.9993465568923336,0.16433037429409744,0.012911215426356735,1.2055982619752692,0.3972059004807495,1.0,0.0325050947398564,14.437816490479735,15.969735016189784,512462175.95534754,512462175.95534754,-848879510.3576721,1811331045.1365738,3462676812.069373,4862063978.045488,1474913710.734249,4862063978.045488,317214113.1682005,390903029.10010254,798613799.000134,798613799.000134,319481523.99912757,305197333.23666215,317214113.1682005,317214113.1682005,317214113.1682005,317214113.1682005,305197333.23666215,317214113.1682005,0.1010039558418216,0.10080706703901103,19863455.01954888,19829983.923071083,26940517.340102453,19322333.34849362,255581354.92839888,26940951.184579447,24568880829.038376,22638537065.562904,1930343763.4754686,1701703359.7316492,1930343763.4754686,3905827566.475307,4028922445.9924746,1558282992.8043375,1329642589.060518,2327219086.260825,1975483802.9998384,0.001240399457706581,-528410.1689830036,152.37026977539062,2022-01-13,0,0,0,0,0,1,0,0,0,0,0,-20.3555611012426,0
